sigma,purity,seed,pure_median,mix_median,delta_median,mix_nri_high,fld_median,fld_nri_low,margin,separated
1.5,1.0,42,0.20804992574914366,0.2085216777284068,0.0004717519792631353,0.2179905280011464,0.8122760618512066,0.7839630159403285,0.6037543841227998,True
1.5,1.0,123,0.20656379292697813,0.20717172503735784,0.0006079321103797108,0.2165204321111664,0.8549992627754197,0.8180844945735049,0.6478275377380619,True
1.5,1.0,999,0.19780971147156062,0.1982080221062401,0.00039831063467948846,0.20646197551811984,0.8294256468585925,0.7979602133488464,0.6312176247523524,True
1.5,0.9,42,0.20804992574914366,0.25819402913599415,0.05014410338685049,0.2737425822917485,0.8122760618512066,0.7839630159403285,0.5540820327152125,True
1.5,0.9,123,0.20656379292697813,0.2548162901250992,0.04825249719812108,0.2689099936287783,0.8549992627754197,0.8180844945735049,0.6001829726503205,True
1.5,0.9,999,0.19780971147156062,0.2628991250465931,0.06508941357503245,0.27940784734279084,0.8294256468585925,0.7979602133488464,0.5665265218119995,True
1.5,0.8,42,0.20804992574914366,0.38246695488688276,0.1744170291377391,0.41053866623639657,0.8122760618512066,0.7839630159403285,0.42980910696432384,True
1.5,0.8,123,0.20656379292697813,0.40023994845960426,0.19367615553262613,0.42742864072001235,0.8549992627754197,0.8180844945735049,0.45475931431581545,True
1.5,0.8,999,0.19780971147156062,0.4300286602292467,0.23221894875768606,0.4565658334753371,0.8294256468585925,0.7979602133488464,0.39939698662934586,True
1.5,0.7,0,0.19683469548668192,0.5944642441452883,0.3976295486586064,0.6353640265886396,0.8236449855648167,0.7935235500146334,0.22918074141952838,True
1.5,0.7,1,0.19450829872366412,0.5645208488728881,0.37001255014922396,0.5998265848849331,0.869209285670492,0.8359400126717726,0.30468843679760393,True
1.5,0.7,2,0.20641913400873518,0.5557861781645967,0.34936704415586156,0.5844912457029349,0.8366740044449315,0.796763631478001,0.2808878262803347,True
1.5,0.7,3,0.19857167585699242,0.6088112961270638,0.4102396202700713,0.6448096624977722,0.8439582442636744,0.8036742132539447,0.23514694813661063,True
1.5,0.7,4,0.20336239856485844,0.5973557173997108,0.3939933188348524,0.6307481726534957,0.8334171144618949,0.795759185560143,0.2360613970621841,True
1.5,0.7,5,0.20204254417871392,0.5940588509816123,0.39201630680289834,0.6339091398993018,0.8422287543946405,0.8136856700950119,0.24816990341302825,True
1.5,0.7,6,0.20178018622019384,0.5674689588644296,0.36568877264423577,0.6057510281709249,0.8530111058706134,0.8144869217618141,0.28554214700618374,True
1.5,0.7,7,0.20097557391512874,0.5947991056094173,0.3938235316942885,0.6318495990397945,0.8491159939435422,0.8101319275125092,0.2543168883341249,True
1.5,0.7,8,0.19667253259190814,0.6111871339875803,0.41451460139567214,0.6480222180145627,0.8492495907239198,0.8122436308044805,0.23806245673633952,True
1.5,0.7,9,0.19823290495969328,0.6335530793374846,0.43532017437779136,0.6703242202006694,0.8486268430450437,0.8157366846941293,0.21507376370755904,True
1.5,0.7,10,0.19944375169677903,0.598881259948453,0.39943750825167396,0.6385002472435607,0.8442505413186483,0.8048914218863382,0.2453692813701953,True
1.5,0.7,11,0.20416925544689118,0.610069936929124,0.40590068148223285,0.6562092835916853,0.8262049936479774,0.7869435145532266,0.21613505671885336,True
1.5,0.7,12,0.211168746420265,0.6089264012842867,0.39775765486402165,0.6497891347239644,0.8339712803669559,0.7968290388763085,0.22504487908266924,True
1.5,0.7,13,0.19901098443031237,0.5784564833265529,0.37944549889624046,0.6200097130671459,0.8254198071326962,0.7929465699975119,0.2469633238061434,True
1.5,0.7,14,0.20022190330479772,0.5963092932823424,0.39608738997754467,0.634254940733444,0.8397139061888724,0.8061844359472919,0.24340461290653004,True
1.5,0.7,15,0.19899909517985187,0.5852806040323703,0.3862815088525184,0.6237795649960474,0.8403082842612848,0.804139994549513,0.25502768022891453,True
1.5,0.7,16,0.20294476872813713,0.5623501642806701,0.3594053955525329,0.597081671706944,0.8433476022739859,0.8085830647490632,0.2809974379933158,True
1.5,0.7,17,0.20452385701470052,0.5309818721543574,0.3264580151396569,0.5692731316769042,0.857587924276837,0.8185641941644344,0.3266060521224796,True
1.5,0.7,18,0.20713664562209583,0.60860201757806,0.40146537195596416,0.6397982664429214,0.8237528627912427,0.7835726905783938,0.21515084521318273,True
1.5,0.7,19,0.20068709518651454,0.5738276744802393,0.3731405792937248,0.6132759347975912,0.8177832307949648,0.7799731657894334,0.24395555631472554,True
1.5,0.7,20,0.20795717250069995,0.5648078496147533,0.3568506771140533,0.6036874190269386,0.8729151117770841,0.8395713064571548,0.30810726216233086,True
1.5,0.7,21,0.19807541195436906,0.6010102744181345,0.4029348624637654,0.6359451400528209,0.8450451159163785,0.806889532483155,0.24403484149824406,True
1.5,0.7,22,0.1973203696101663,0.613760950223553,0.41644058061338673,0.6516549605819789,0.8413750372493086,0.8088893654783929,0.22761408702575558,True
1.5,0.7,23,0.20917878889192715,0.6068078124585843,0.39762902356665714,0.6373635344012627,0.8031042098005222,0.7647724860791458,0.19629639734193793,True
1.5,0.7,24,0.19665034538834492,0.5910196216958705,0.3943692763075256,0.6272237119573951,0.8535277606485905,0.82066898398108,0.26250813895271996,True
1.5,0.7,25,0.19784808986598573,0.5925833421880182,0.3947352523220325,0.6259988229672631,0.8330941088243633,0.8022153010286274,0.24051076663634507,True
1.5,0.7,26,0.19745341982224682,0.5875730110523274,0.39011959123008055,0.621673737796118,0.8259795787554679,0.7893350815950865,0.2384065677031405,True
1.5,0.7,27,0.20086118367273645,0.6022317676222975,0.40137058394956104,0.6414674206291472,0.8415018181899494,0.8022247590420323,0.23927005056765194,True
1.5,0.7,28,0.1980308180531265,0.5783332400847867,0.3803024220316602,0.6117302667518556,0.8424936422817035,0.8040041691642723,0.26416040219691683,True
1.5,0.7,29,0.20234550713612393,0.5840808312666702,0.3817353241305463,0.6239278951115996,0.8328797906899399,0.7956984278613173,0.24879895942326968,True
1.5,0.7,30,0.2026703123791539,0.5946528409293081,0.39198252855015425,0.6299687932844319,0.8452908477017375,0.8130973859736139,0.2506380067724293,True
1.5,0.7,31,0.20646554694158226,0.6019621237825136,0.3954965768409313,0.6377631378512331,0.8395952138503573,0.80521545852723,0.23763309006784372,True
1.5,0.7,32,0.1959414106844177,0.5574279031850615,0.3614864925006438,0.5888221048827617,0.8457076541994046,0.8145742771196994,0.2882797510143431,True
1.5,0.7,33,0.2039623740286827,0.5683670810518793,0.3644047070231966,0.6005350685314869,0.8453689227134519,0.8059259938050619,0.2770018416615726,True
1.5,0.7,34,0.1941007409895662,0.599706083270459,0.40560534228089284,0.6368253567287814,0.8406241160446074,0.8122253222172663,0.24091803277414836,True
1.5,0.7,35,0.19581805828839977,0.572042206072872,0.3762241477844723,0.6062677611285799,0.8034260771875854,0.7665173338670318,0.23138387111471337,True
1.5,0.7,36,0.19355464998718308,0.5702625170416462,0.37670786705446313,0.6065717751066028,0.8459132502448311,0.8157890950838999,0.2756507332031849,True
1.5,0.7,37,0.19981211210465563,0.6194018757846776,0.419589763680022,0.6593653958227293,0.8504335531932113,0.8216024843935346,0.2310316774085337,True
1.5,0.7,38,0.19819571128084512,0.6021311968614946,0.4039354855806495,0.6376307889450423,0.8231982884754194,0.7849872505861593,0.2210670916139248,True
1.5,0.7,39,0.19040071562426797,0.5132479387599688,0.3228472231357008,0.5454257938880083,0.8308636252325953,0.7984077823867385,0.3176156864726265,True
1.5,0.7,40,0.19670034260187708,0.6248459087315719,0.4281455661296948,0.6646596513885323,0.860012133071217,0.8224072466311049,0.23516622433964518,True
1.5,0.7,41,0.2094821988844633,0.6221120928673405,0.4126298939828772,0.6564228138198126,0.811587656830576,0.7730183423030795,0.1894755639632355,True
1.5,0.7,42,0.20804992574914366,0.567222282587655,0.3591723568385113,0.6050155870241242,0.8122760618512066,0.7839630159403285,0.24505377926355165,True
1.5,0.7,43,0.20505755601573716,0.5766015031551722,0.37154394713943506,0.6193214754358344,0.8292091864502,0.7906900134525829,0.2526076832950278,True
1.5,0.7,44,0.20635444072738282,0.6036360539648277,0.3972816132374448,0.6425166347829423,0.8466275364667438,0.8069565471010995,0.24299148250191616,True
1.5,0.7,45,0.20603953499581854,0.6117990906767146,0.40575955568089606,0.6525184540660519,0.8505660335145595,0.8133930312149645,0.23876694283784494,True
1.5,0.7,46,0.2087630806147897,0.5662217258901538,0.35745864527536414,0.6070983200226804,0.8163396218391694,0.7728092291668696,0.25011789594901557,True
1.5,0.7,47,0.20801226329457534,0.5657471613537637,0.35773489805918834,0.6064917151642926,0.8440874509779953,0.8111452061768825,0.27834028962423163,True
1.5,0.7,48,0.19884524926067387,0.5568387861668749,0.357993536906201,0.5878697608407077,0.8333250720585726,0.8012860644477053,0.27648628589169777,True
1.5,0.7,49,0.1901803662952871,0.5959350744234218,0.40575470812813463,0.6305267921937784,0.83819499106063,0.8043900019241017,0.24225991663720825,True
15.0,1.0,42,0.5998604091596061,0.59882050781698,-0.001039901342626104,0.6275025854874726,0.8122760618512066,0.7839630159403285,0.21345555403422656,True
15.0,1.0,123,0.6119101043180031,0.6113647333153699,-0.0005453710026331882,0.6370292496762,0.8549992627754197,0.8180844945735049,0.24363452946004982,True
15.0,1.0,999,0.5657002536490239,0.5657451699169933,4.491626796943038e-05,0.594801751416451,0.8294256468585925,0.7979602133488464,0.26368047694159924,True
15.0,0.9,42,0.5998604091596061,0.6252649166559576,0.02540450749635148,0.6557862344266523,0.8122760618512066,0.7839630159403285,0.18701114519524897,True
