sigma_km_s,signal_ratio,projection_ratio,field_ratio,order_preserved,detectable
1.5,0.2072119942676871,0.9600146125858247,0.8113904499322087,True,True
3.0,0.2442731468986342,1.0015707394197695,0.8583282481171225,True,True
5.0,0.3110558422494374,0.9623734974445778,0.8363725891549532,True,True
7.5,0.3850874370374149,0.9964725573481799,0.8411328431964691,True,True
10.0,0.4720539590379868,0.9664901821391535,0.8225792611070784,True,True
15.0,0.5734763555649929,0.9859908027303085,0.8336366660802135,True,True
