sigma,seed,population,median,nri_low,nri_high,pct_below_threshold,effect_margin,distributions_separated
1.5,1,signal,0.19450829872366412,0.18533940727459564,0.20330070942176023,100.0,,
1.5,1,field,0.869522204187158,0.83707028727171,0.9085779106141167,0.0,0.6750139054634938,True
1.5,1,projection,0.9857302347419363,0.9275791050019785,1.0418504615607733,0.0,0.7912219360182722,True
1.5,42,signal,0.20804992574914366,0.19900640717867105,0.2180760772926283,100.0,,
1.5,42,field,0.8183302347708983,0.7806890955844418,0.8552493185502325,14.499999999999998,0.6102803090217546,True
1.5,42,projection,0.9654674931659252,0.9127337182721709,1.0300663619062216,0.0,0.7574175674167816,True
1.5,123,signal,0.20656379292697813,0.19592371288736696,0.21523390150603788,100.0,,
1.5,123,field,0.8537681097305254,0.8199892044175229,0.8934716066329687,0.5,0.6472043168035473,True
1.5,123,projection,0.9865643253734651,0.9346680246774506,1.0427702054355108,0.0,0.7800005324464869,True
1.5,999,signal,0.19780971147156062,0.19080551272350124,0.2073919491139104,100.0,,
1.5,999,field,0.8322560115479961,0.7950031026076136,0.8663196777137743,5.5,0.6344463000764355,True
1.5,999,projection,0.9955107528469138,0.9383957230114948,1.050311705898456,0.0,0.7977010413753531,True
15.0,1,signal,0.5786773543160717,0.5539650109349036,0.6064437206210812,100.0,,
15.0,1,field,0.869522204187158,0.83707028727171,0.9085779106141167,0.0,0.2908448498710863,True
15.0,1,projection,0.9640102355683748,0.9007277537430254,1.0182915493681564,0.0,0.38533288125230314,True
15.0,42,signal,0.5998604091596061,0.5688475128216549,0.631219875876364,100.0,,
15.0,42,field,0.8183302347708983,0.7806890955844418,0.8552493185502325,14.499999999999998,0.21846982561129213,True
15.0,42,projection,0.968578089611948,0.9157004467229722,1.0320598319998615,0.0,0.3687176804523419,True
15.0,123,signal,0.6119101043180031,0.5814152581465358,0.6390708851962362,100.0,,
15.0,123,field,0.8537681097305254,0.8199892044175229,0.8934716066329687,0.5,0.24185800541252234,True
15.0,123,projection,0.9876819950026644,0.9293807772868405,1.0522651170214923,0.0,0.3757718906846613,True
15.0,999,signal,0.5657002536490239,0.5436231476721878,0.5935628551674798,100.0,,
15.0,999,field,0.8322560115479961,0.7950031026076136,0.8663196777137743,5.5,0.26655575789897223,True
15.0,999,projection,0.9892551146082349,0.9244542407801764,1.050012113872514,0.0,0.423554860959211,True
