source_id,ra,dec,distance_pc,bp_rp,M_G,ruwe,tension_score,nss_likelihood,anomaly_class
244808226728958848,56.20563144888352,46.0352908572648,24.79698197829041,1.0752382,5.5083638680330855,11.592656,1.5511768,0.9615231155106368,Unexplained Astrometric Tension (High Priority)
6476631088312446720,314.9193383116718,-52.17577995614631,40.65121990647828,1.0148954,5.075683085441511,14.167516,1.6348283,0.9604826461536029,Unexplained Astrometric Tension (High Priority)
4780401443441735168,61.87273873790832,-52.57248367150858,33.64729113031162,1.1433816,5.585241470649231,11.588854,1.5403935,0.9603951147904118,Unexplained Astrometric Tension (High Priority)
6780206038286320000,315.30472338264667,-35.18439407900951,42.45793420122455,0.8119378,4.401668701678458,15.572601,1.8192009,0.9602786646496924,Unexplained Astrometric Tension (High Priority)
488099260551658752,55.02373146572637,63.87397285600121,41.55021405370822,1.0009532,4.968582672623796,28.841726,2.2706196,0.9601370298280618,Unexplained Astrometric Tension (High Priority)
6218244378325611264,223.8170838617948,-29.528105824041752,45.11333542225786,0.8239708,4.966772312313362,11.432065,1.5091239,0.9600139515013845,Unexplained Astrometric Tension (High Priority)
6578350001374194816,325.54332617016723,-41.12621315461098,29.94396316213617,1.3159437,6.079416600869926,33.003048,2.2507763,0.9599087301354196,Unexplained Astrometric Tension (High Priority)
5240172091870983680,166.990361070097,-64.95586207248121,49.24884815890777,1.0436535,5.49337261203288,12.05107,1.5397717,0.9598669986855731,Unexplained Astrometric Tension (High Priority)
6192187979961725952,204.55597855274544,-23.68857076977194,46.645370871373096,0.8306279,4.691218247773106,10.084781,1.4577019,0.9595811245350625,Below Top 5% Threshold
1098326392897863680,122.58738707958943,69.72560126912373,29.883269965169585,0.7547498,4.025835908759791,14.882623,1.7333071,0.9595456733317134,Unexplained Astrometric Tension (High Priority)
3860989266242834432,153.84141093990328,5.229299398847995,41.16342580800425,1.0573902,5.602115442191435,16.967985,1.8158869,0.9595119430630393,Unexplained Astrometric Tension (High Priority)
1337526655053519616,261.17631931194893,38.03534670908006,46.38196287919651,0.9603014,4.587161080089417,10.504888,1.5149221,0.9594918804392918,Unexplained Astrometric Tension (High Priority)
128614479306793088,43.07673585155428,29.01939571573988,45.76985762474624,1.0289774,5.414608192602769,11.721997,1.4831419,0.9594488308549061,Below Top 5% Threshold
1609585452838737536,213.2501088769991,55.325403930292445,37.47305293331472,1.2195697,5.740234617253018,12.751134,1.5900598,0.9594398478686125,Unexplained Astrometric Tension (High Priority)
1147577916752169472,139.56099575060227,83.52830103690297,47.462498553148166,1.0272245,5.822802515456125,32.505642,2.2410145,0.9593544174881959,Unexplained Astrometric Tension (High Priority)
2695668504585758592,329.6173185817752,3.776320688588017,43.64767827720996,0.75547266,3.612597262451047,17.805113,1.7387028,0.9593334456947556,Unexplained Astrometric Tension (High Priority)
1609586552350380928,213.4014308141158,55.369629963175335,41.503539562076185,1.1812191,5.836370318038711,19.935146,1.9088387,0.9592043562852914,Unexplained Astrometric Tension (High Priority)
5497202515587909888,100.96628908951696,-54.56659701398939,48.20040366623528,0.9874048,4.834081623195335,19.120049,1.9297252,0.9591362320268695,Unexplained Astrometric Tension (High Priority)
4305518626208903040,286.52920094055474,5.278688392447563,38.57964527719982,1.2037153,6.33978584909869,13.563508,1.5874467,0.9591093844226763,Unexplained Astrometric Tension (High Priority)
1105242767716286336,94.65408515128996,67.72822279195137,44.78702493283451,0.9430008,5.289571927357491,18.908195,2.090143,0.9590791591352094,Unexplained Astrometric Tension (High Priority)
3111066471465385216,109.42086431198744,0.1346493294385295,47.36077553455393,1.0578642,5.423641973188813,17.341974,1.7769216,0.9590693768677785,Unexplained Astrometric Tension (High Priority)
2482274463233174016,21.57948536516073,-4.674550200716356,45.92405487538328,0.8621721,4.675453263910924,18.338476,1.969558,0.9590682330299423,Unexplained Astrometric Tension (High Priority)
3983787397757283840,164.89335121452078,17.998323481776946,37.09874891051927,1.2284865,5.660279679744091,16.09799,1.7748156,0.9589997922922834,Unexplained Astrometric Tension (High Priority)
4506650604692623488,285.65934747814373,14.56700168697608,28.82539261775828,0.80754995,4.43125584331208,19.591799,1.9489162,0.9589635291858619,Unexplained Astrometric Tension (High Priority)
2975532662404990336,76.79047191300016,-19.390649962673614,34.507653676973014,0.80802774,3.631601246223748,17.519033,1.777052,0.9587389700109097,Unexplained Astrometric Tension (High Priority)
6547730797267255424,343.29959262635253,-37.83955810338186,49.37230644365684,1.1082535,5.659272920479637,13.28706,1.5478309,0.9586653804689753,Unexplained Astrometric Tension (High Priority)
