source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score
5985844179008859520,234.56865127089247,-48.31651312117599,37.63396080070772,0.019077918,-158.24790182268424,0.019394863,-45.507476859726054,0.01949968,1.0385516,0.108578406,19,12.381385,13.735774,11.232672,1.4208537,41.317738,0.66577834,False,3139.176,1972.6451107939085,164.66125494912401,20.741153007578067,0.016428066,0.04476643,0.061194494
2324934314938682368,355.28539391624327,-32.071121470691054,22.668810772142034,0.024385387,114.4518181695948,0.02287032,30.419664537923715,0.019877909,1.0226758,0.12573718,14,6.9630904,7.284094,6.4681726,1.2036124,20.42327,0.119972765,False,5651.921,929.6063539897912,118.42539707734065,24.764953385782473,0.009737959,0.051437013,0.061174974
426641955043723520,15.336900310600058,61.36213773499954,94.97013378459856,0.017161392,362.4915172244558,0.013505089,-811.6220044630483,0.016424565,1.0168166,0.1321925,27,9.846085,11.080971,8.743409,1.3947519,6.9985495,0.1531898,False,,5533.94127822009,888.8927821668393,44.369418038682284,0.0072426344,0.05392027,0.061162904
6438548747171458176,285.7503972855433,-64.21235509456797,25.838839609452567,0.013192866,-354.2298742029864,0.010760279,-279.21434288258234,0.011381378,1.1262825,0.022149444,23,13.125394,14.382933,12.013151,1.4002368,59.24418,1.0057678,False,,1958.546354844003,451.0426288603061,82.74961581677293,0.051647317,0.009514397,0.06116171
5612299328373516416,114.57175073126159,-27.144806116320765,20.030896047708406,0.015262556,-73.8017679467682,0.012909272,161.78043498714504,0.014596696,1.0364133,0.11077527,29,8.24642,8.594137,7.7280016,1.2050272,89.2296,0.13037804,False,5552.5234,1312.4207834809347,177.8190374979532,42.082281825048845,0.015532983,0.045626186,0.061159167
4576863905365412736,268.374383389089,21.3255487943113,40.7787987670354,0.017626138,-73.09136113527315,0.00992936,57.7058009583921,0.01854466,1.0268215,0.12108402,26,8.209442,8.705472,7.551065,1.2311621,-13.287447,0.12389957,True,4783.7324,2313.541277864589,93.12521966071536,10.82565753265628,0.011494951,0.049638145,0.061133094
2009313111279973760,350.38429390137406,56.8554765768828,27.098047874693815,0.015437617,-27.429102134409042,0.015571964,-188.86292429280414,0.014821364,1.0173019,0.13157088,29,11.231156,12.261422,10.224265,1.3448429,-41.183823,0.25442985,False,,1755.3258338516864,190.8443339906357,33.38586765128044,0.007449863,0.05368174,0.0611316
6606890608810806528,340.23167935384356,-31.98996669113577,37.490029921152384,0.02369064,343.90997178435873,0.022207284,20.885735288552922,0.019592984,1.020119,0.12844525,16,7.2165284,7.599844,6.6625977,1.210606,-20.323183,0.12192066,False,5325.9873,1582.4827212435787,344.5435859673808,43.566210440639324,0.008650816,0.0524805,0.061131317
962379266249460736,94.20809435094343,44.704243830923836,23.82759907017715,0.015644582,-256.1852757555281,0.015875844,-332.9982737463048,0.013012372,1.0588644,0.08712974,18,8.841721,9.244374,8.266603,1.2154268,-34.551308,0.20984638,False,5146.764,1523.0575727598589,420.1413403034209,83.5865759534685,0.024840329,0.036281366,0.061121695
3141791533628643200,112.6160499930809,6.720702403755362,21.06996299353618,0.023029568,-143.21291651194556,0.026755085,-66.49389016257774,0.02098857,1.0414132,0.10531018,15,8.51108,8.8495455,7.9974375,1.2065538,91.56202,0.1453448,True,5548.7295,914.9091850953254,157.89672854372392,35.5247280210835,0.017623072,0.043484177,0.061107248
1316920711932740992,242.8483551622526,28.438179986767704,22.582060197239308,0.016920706,-103.47123296434124,0.015498428,-77.82859016761664,0.018391239,1.019707,0.1288339,29,7.4592943,7.7351437,7.0105205,1.1988965,-34.686428,0.1304333,False,5936.787,1334.5814207724445,129.47426577756605,27.179489706860878,0.008475386,0.05263004,0.061105426
4321661174889263616,292.48435600490694,16.310514099434663,21.20385703123476,0.016118672,-153.56795188234295,0.016032282,-149.24862873049017,0.015372223,1.0498995,0.096361496,19,12.103502,13.178487,11.036046,1.3945564,-4.289689,0.33614632,False,3443.686,1315.4841395495746,214.14543895042289,47.875725038417514,0.021147711,0.039953783,0.061101496
4168799062570703744,266.6447995018687,-7.480750343414039,22.545378630680656,0.017680325,-41.803845675328304,0.020863263,-9.068805555856882,0.0126501685,1.1287225,0.019787572,18,13.530394,15.019478,12.339856,1.4441704,,,False,,1275.167686274668,42.77621707744393,8.994276702594842,0.0525872,0.008509706,0.061096907
6317343258250328960,235.0401142786265,-8.945970911090967,21.82295946354062,0.021797238,-44.36476286105588,0.021816297,-130.2234910983383,0.01791893,1.0491384,0.09714053,13,9.005399,9.420877,8.41905,1.2169834,-16.539371,0.2099087,False,5124.9414,1001.1800369320538,137.57321620706813,29.88420087214476,0.020832794,0.040262267,0.06109506
2604498958915619840,341.27588438311244,-12.394733318625613,47.31614409146647,0.02113099,133.38321510571836,0.022236384,139.95585287674112,0.019036828,1.02423,0.12381232,14,12.627924,14.2505,11.397608,1.4699072,-14.993178,0.5598427,False,,2239.182525796736,193.33577740913435,19.369762061823877,0.010397494,0.050693788,0.06109128
3969281579506880512,164.90866302241167,15.151460418601243,21.991467556669495,0.020503933,73.51401696679785,0.02214266,-136.5325037827668,0.0191999,1.1148343,0.032453883,13,13.837369,15.182015,12.694344,1.4163963,30.976166,1.8224578,False,3234.0327,1072.5487629518775,155.06590624565374,33.42593097464294,0.047210325,0.013870667,0.061080992
3895404602964117504,181.7383062114928,5.801500740124722,22.08799901903793,0.016105354,244.42617155458706,0.021272833,-249.64405493612182,0.010775003,1.0606086,0.08523072,17,10.455466,11.162448,9.641617,1.2689015,2.5481892,0.17861827,False,4227.8364,1371.4693417548565,349.3798899561648,74.98302066714956,0.025555154,0.035522074,0.06107723
5593584059906793088,118.06286064632202,-34.70447719464107,54.55285373203484,0.020285776,-207.3741516902645,0.019198645,228.3745996400201,0.027773375,1.0143106,0.1347189,25,7.9423513,8.351626,7.1619263,1.3611988,,,False,,2689.2170179406817,308.47851878209656,26.80580508425805,0.0061709634,0.054888286,0.061059248
