null_error,k_predict,k_shuffle,noise_fraction,seed
18.92217461061915,30,50,0.1,42
17.396367863084894,30,50,0.1,42
16.5914580321028,30,50,0.1,42
16.579562226642373,30,50,0.1,42
17.199227164462787,30,50,0.1,42
16.89653883384889,30,50,0.1,42
17.54407173502748,30,50,0.1,42
16.965281663379972,30,50,0.1,42
17.55177949555089,30,50,0.1,42
17.48873679108753,30,50,0.1,42
15.44806163628633,30,50,0.1,42
17.127578198378494,30,50,0.1,42
15.387207508274717,30,50,0.1,42
17.44486510950655,30,50,0.1,42
18.26622983436604,30,50,0.1,42
17.200187195827745,30,50,0.1,42
17.14806506025804,30,50,0.1,42
17.28571770838726,30,50,0.1,42
17.062592122770283,30,50,0.1,42
17.20190684370612,30,50,0.1,42
16.745581909301258,30,50,0.1,42
18.46332809669837,30,50,0.1,42
16.229391888325786,30,50,0.1,42
17.97941852756054,30,50,0.1,42
16.09926075656884,30,50,0.1,42
17.697370744387428,30,50,0.1,42
16.41897410433335,30,50,0.1,42
16.96903451377189,30,50,0.1,42
18.216856177310596,30,50,0.1,42
16.990117811746963,30,50,0.1,42
16.726196558012333,30,50,0.1,42
16.881654179060742,30,50,0.1,42
16.659532932688165,30,50,0.1,42
17.20733630051055,30,50,0.1,42
16.57605663833545,30,50,0.1,42
17.13503339061036,30,50,0.1,42
17.078625959307942,30,50,0.1,42
16.266626894550207,30,50,0.1,42
17.457360169021413,30,50,0.1,42
17.30572254366395,30,50,0.1,42
17.2861711784873,30,50,0.1,42
15.331519168598739,30,50,0.1,42
16.72035744194997,30,50,0.1,42
17.736668275531027,30,50,0.1,42
18.084347522783677,30,50,0.1,42
17.9573573691098,30,50,0.1,42
16.398697753112756,30,50,0.1,42
16.810799226198345,30,50,0.1,42
16.68261654210726,30,50,0.1,42
16.399369953844598,30,50,0.1,42
16.54254758595507,30,50,0.1,42
16.716382047500403,30,50,0.1,42
17.027047116372856,30,50,0.1,42
15.916777680849691,30,50,0.1,42
16.075067054832672,30,50,0.1,42
15.83882272093346,30,50,0.1,42
16.783768141249155,30,50,0.1,42
15.32707972243413,30,50,0.1,42
16.414598326642242,30,50,0.1,42
14.799940466870899,30,50,0.1,42
15.803248838947072,30,50,0.1,42
16.284853878725293,30,50,0.1,42
17.419597423208756,30,50,0.1,42
18.38371846355215,30,50,0.1,42
17.911387572657123,30,50,0.1,42
15.721068338401125,30,50,0.1,42
16.486135021993533,30,50,0.1,42
18.422284313040667,30,50,0.1,42
17.689498841134586,30,50,0.1,42
18.11733625364804,30,50,0.1,42
16.19753034367067,30,50,0.1,42
17.22310562212271,30,50,0.1,42
17.03995410456782,30,50,0.1,42
16.974949861576484,30,50,0.1,42
17.508351066601854,30,50,0.1,42
16.478043377719953,30,50,0.1,42
17.323722688859476,30,50,0.1,42
16.181930351084638,30,50,0.1,42
16.237212062246535,30,50,0.1,42
16.922103847466545,30,50,0.1,42
16.825937826245372,30,50,0.1,42
16.330196054988882,30,50,0.1,42
16.88628928451906,30,50,0.1,42
17.184420274325355,30,50,0.1,42
17.829798178818336,30,50,0.1,42
16.831888903582097,30,50,0.1,42
17.241591280375133,30,50,0.1,42
16.97332566246444,30,50,0.1,42
15.841003141543595,30,50,0.1,42
17.22343047747922,30,50,0.1,42
17.922146946097328,30,50,0.1,42
15.774220782516648,30,50,0.1,42
17.138972690035168,30,50,0.1,42
16.792596872050705,30,50,0.1,42
16.954313645802735,30,50,0.1,42
17.330589037853905,30,50,0.1,42
15.363447786032506,30,50,0.1,42
17.730014282012682,30,50,0.1,42
16.16154169547827,30,50,0.1,42
17.74100038132019,30,50,0.1,42
17.179035075124602,30,50,0.1,42
18.510578946464918,30,50,0.1,42
16.701889415487955,30,50,0.1,42
18.519444024930173,30,50,0.1,42
15.043225287785738,30,50,0.1,42
17.46182252127557,30,50,0.1,42
16.099455871584958,30,50,0.1,42
15.935748627536583,30,50,0.1,42
16.14173334532181,30,50,0.1,42
16.94723613998437,30,50,0.1,42
17.840386587951024,30,50,0.1,42
16.287982202140974,30,50,0.1,42
17.0363879442055,30,50,0.1,42
16.11759328572274,30,50,0.1,42
17.901274803298108,30,50,0.1,42
16.08644394374204,30,50,0.1,42
17.690286439865947,30,50,0.1,42
17.032104516170904,30,50,0.1,42
16.900528466464095,30,50,0.1,42
16.968256706768145,30,50,0.1,42
18.010720282657005,30,50,0.1,42
14.624082136511284,30,50,0.1,42
18.255072712922377,30,50,0.1,42
16.52156389556913,30,50,0.1,42
14.452694755653187,30,50,0.1,42
17.183080170626038,30,50,0.1,42
16.463464258225123,30,50,0.1,42
15.513592763742588,30,50,0.1,42
14.938879327536855,30,50,0.1,42
17.32601820156483,30,50,0.1,42
16.7892976747127,30,50,0.1,42
17.01374042894725,30,50,0.1,42
16.67157152899851,30,50,0.1,42
18.18767716558824,30,50,0.1,42
15.555962231194894,30,50,0.1,42
17.136607630410605,30,50,0.1,42
16.94345253576232,30,50,0.1,42
16.422857972180424,30,50,0.1,42
19.614776857394492,30,50,0.1,42
16.902735554802277,30,50,0.1,42
18.266599819775507,30,50,0.1,42
17.950142436253948,30,50,0.1,42
17.201560723651944,30,50,0.1,42
17.497206662881794,30,50,0.1,42
17.340391813090925,30,50,0.1,42
16.84311943496757,30,50,0.1,42
16.413137016804534,30,50,0.1,42
16.954081820983774,30,50,0.1,42
16.94062262836008,30,50,0.1,42
18.566621368267548,30,50,0.1,42
17.2247546874298,30,50,0.1,42
17.322075690651083,30,50,0.1,42
16.05009715211626,30,50,0.1,42
18.994995112551386,30,50,0.1,42
17.289579237290884,30,50,0.1,42
17.4305482305478,30,50,0.1,42
16.391271131504816,30,50,0.1,42
17.297299029894106,30,50,0.1,42
16.42141992946822,30,50,0.1,42
16.387725944870304,30,50,0.1,42
