k,noise_frac,seed,R_pleiades,R_hyades,R_difference
20,0.05,42,0.9005423825797373,0.8403501352070454,0.06019224737269191
20,0.05,100,0.9013723849024958,0.8405138324197424,0.0608585524827534
20,0.05,2024,0.9015563680889681,0.8407317036935655,0.06082466439540257
20,0.1,42,0.8975193610609974,0.8330809460180352,0.06443841504296222
20,0.1,100,0.897931450579319,0.8331622456602461,0.0647692049190729
20,0.1,2024,0.8980368704049276,0.8330614451486487,0.06497542525627897
20,0.2,42,0.8860434372543373,0.8072880072094214,0.07875543004491592
20,0.2,100,0.8861860933990399,0.8067339403277571,0.07945215307128273
20,0.2,2024,0.8857700258606249,0.8072781799861217,0.0784918458745032
30,0.05,42,0.9158330485457064,0.8500552362303903,0.0657778123153161
30,0.05,100,0.9165798903576086,0.8495108613180042,0.06706902903960432
30,0.05,2024,0.9164218959050188,0.8493773801060677,0.0670445157989511
30,0.1,42,0.9127274366504369,0.8426519726226476,0.0700754640277893
30,0.1,100,0.9138506657981809,0.8417190066109721,0.07213165918720876
30,0.1,2024,0.9129542243589924,0.841725058259761,0.07122916609923147
30,0.2,42,0.9008551946371489,0.8142162194551896,0.08663897518195929
30,0.2,100,0.901711189164913,0.8134517570989818,0.08825943206593123
30,0.2,2024,0.9008508726976956,0.813664071929177,0.08718680076851859
40,0.05,42,0.9139257960662209,0.8639920012860107,0.049933794780210206
40,0.05,100,0.9142787519844044,0.8631923597895671,0.05108639219483735
40,0.05,2024,0.9141305078050992,0.8631762807525529,0.050954227052546264
40,0.1,42,0.9105637741673485,0.8561860299734204,0.054377744193928046
40,0.1,100,0.9114312859078159,0.8552841444203255,0.05614714148749034
40,0.1,2024,0.9106745732701959,0.8555639493243841,0.05511062394581179
40,0.2,42,0.8989537909486728,0.8261740514381962,0.07277973951047656
40,0.2,100,0.8996971230671515,0.8252969461615578,0.07440017690559375
40,0.2,2024,0.8984295541460252,0.8256323093635821,0.0727972447824431
50,0.05,42,0.9220462265665753,0.8607390600037208,0.06130716656285451
50,0.05,100,0.9220353302430131,0.859817756635731,0.062217573607282084
50,0.05,2024,0.9223623199114537,0.8596961857507628,0.06266613416069089
50,0.1,42,0.9188933270993733,0.8526312888080821,0.06626203829129118
50,0.1,100,0.919218195662171,0.8513989440272185,0.0678192516349525
50,0.1,2024,0.9186191317627157,0.8513699471894661,0.06724918457324958
50,0.2,42,0.9067143399492447,0.8218497471826788,0.08486459276656588
50,0.2,100,0.9074847802713338,0.8209911758285252,0.08649360444280862
50,0.2,2024,0.906231287441159,0.821113569008533,0.08511771843262594
