star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag
0,-0.0033774403524473,0.0033774403524473,0.840430487770128,14.166734701082556,1.7674619351804672e+16,0.7844211,,17.063295
1,-0.0019970524669183,0.0019970524669183,0.8418108756556569,14.166734701082556,1.7919668711041664e+16,1.1111869,,14.311394
2,-0.0028707277628051,0.0028707277628051,0.8409372003597702,14.166734701082556,3.616462536180813e+16,1.0243692,,9.448895
3,-0.0012249568090682,0.0012249568090682,0.8425829713135071,14.226454088140471,3.878534568645939e+16,1.132905,,16.027376
4,-0.0064845040287409,0.0064845040287409,0.8373234240938344,14.097148403769236,4.09031425183529e+16,1.1444765,,14.044017
5,-0.0198253484818577,0.0198253484818577,0.8239825796407175,13.877752466814364,4.271640899380608e+16,1.3469818,,12.962056
6,-0.0021958688686694,0.0021958688686694,0.8416120592539059,14.166734701082556,4.325681895853005e+16,1.1461537,,14.913305
7,-0.0069094639266417,0.0069094639266417,0.8368984641959336,13.97894590310902,4.419707319884006e+16,1.3095304,,7.5167327
8,-0.0011661272687835,0.0011661272687835,0.8426418008537918,14.226454088140471,4.578926911435763e+16,1.0511117,,16.566332
9,-0.0006995275143508,0.0006995275143508,0.8431084006082245,14.226454088140471,4.731996109884019e+16,1.2429767,,14.702765
10,-0.000815532033357,0.000815532033357,0.8429923960892183,14.226454088140471,4.754110037501197e+16,1.0341549,,6.7013855
11,0.0027117086959419,0.0027117086959419,0.8465196368185173,14.267154858687086,4.78818115406368e+16,1.0048102,,15.451751
12,-0.0018829934462202,0.0018829934462202,0.8419249346763551,14.226454088140471,4.820348741142746e+16,1.0189565,,7.3269024
13,-0.0048835153486,0.0048835153486,0.8389244127739752,14.097148403769236,4.83777600046048e+16,1.0843853,,16.27469
14,-0.0026782231608928,0.0026782231608928,0.8411297049616825,14.166734701082556,4.95186063976887e+16,1.2826312,,12.767507
15,0.0056774086853561,0.0056774086853561,0.8494853368079315,14.267154858687086,5.824525838882496e+16,1.277386,,12.20945
16,-0.0029373370099021,0.0029373370099021,0.8408705911126731,14.166734701082556,6.080499017886618e+16,1.268524,,15.437747
17,-0.0026494663773177,0.0026494663773177,0.8411584617452575,14.166734701082556,6.681876902683648e+16,1.0360358,,16.275337
18,0.0002691125814948,0.0002691125814948,0.8440770407040702,14.226454088140471,6.823009527881779e+16,1.153167,,15.720553
19,-0.0017319390488471,0.0017319390488471,0.8420759890737282,14.226454088140471,1.4539148485548134e+17,0.9711737,,5.6573215
20,-0.0045552524894966,0.0045552524894966,0.8392526756330787,14.166734701082556,1.499565196941047e+17,1.0423055,,15.712513
