star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag,influence_rank,cluster
5.0,-0.0198253484818577,0.0198253484818577,0.8239825796407175,13.877752466814364,4.271640899380608e+16,1.3469818,,12.962056,1,hyades
558.0,-0.0184908770663528,0.0184908770663528,0.8253170510562224,13.862875983482866,3.3038827060243446e+18,1.2139567,,15.035881,2,hyades
152.0,-0.0184292124761802,0.0184292124761802,0.8253787156463951,13.877752466814364,3.3099764056237445e+18,1.2069429,,13.46985,3,hyades
740.0,-0.017402987001227666,0.017402987001227666,0.8264049411213477,13.898346171286644,4.125179078562458e+16,1.2027639,,13.927086,4,hyades
111.0,-0.0169237802990693,0.0169237802990693,0.8268841478235059,13.919179985724549,3.746387014833331e+16,1.2378039,,12.815305,5,hyades
45.0,0.0147535450454552,0.0147535450454552,0.8585614731680306,14.429759608229274,4.801182879123482e+16,1.0545962,,7.7753973,6,hyades
368.0,0.0143180224808031,0.0143180224808031,0.8581259506033785,14.429759608229274,4.799969980412621e+16,0.92585045,,9.462355,7,hyades
231.0,0.0129603752134042,0.0129603752134042,0.8567683033359795,14.429759608229274,1.1279894084985344e+16,1.1809788,,13.714016,8,hyades
568.0,0.0128860371856761,0.0128860371856761,0.8566939653082515,14.429759608229274,1.1279889789590656e+16,1.063036,,10.728853,9,hyades
498.0,0.0125421386913276,0.0125421386913276,0.856350066813903,14.429759608229274,3.853582526642022e+16,1.2890325,,13.551019,10,hyades
439.0,0.0117241087197281,0.0117241087197281,0.8555320368423035,14.429759608229274,3.298631404130766e+18,1.1780258,,5.347587,11,hyades
536.0,0.011547685521147,0.011547685521147,0.8553556136437224,14.429759608229274,3.853582526642035e+16,1.3176042,,13.709113,12,hyades
716.0,-0.01102646654451589,0.01102646654451589,0.8327814615780594,14.040982317365716,6.501069087394048e+16,1.006565,,6.8663635,13,hyades
520.0,0.0098175011988386,0.0098175011988386,0.8536254293214139,14.40634319342364,3.2983782072191503e+18,0.9565513,,17.900286,14,hyades
574.0,-0.0096499387919297,0.0096499387919297,0.8341579893306456,14.097148403769236,3.791917104205478e+16,1.2763431,,13.666759,15,hyades
378.0,-0.0096370556670096,0.0096370556670096,0.8341708724555656,14.040982317365716,6.762374897601472e+16,1.0328748,,16.877954,16,hyades
382.0,-0.0095472619850163,0.0095472619850163,0.834260666137559,14.040982317365716,3.285064083477831e+18,1.1671885,,11.317166,17,hyades
384.0,0.0093908793754177,0.0093908793754177,0.853198807497993,14.429759608229274,3.300725905060808e+18,1.061675,,11.8271,18,hyades
137.0,-0.0093580879813627,0.0093580879813627,0.8344498401412126,14.040982317365716,3.297063088232792e+18,0.9896304,,17.24545,19,hyades
268.0,-0.0090440287037525,0.0090440287037525,0.8347638994188228,14.097148403769236,1.4944909507780467e+17,1.0061282,,14.784808,20,hyades
