source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,ruwe,dr2_source_id,dr3_source_id,angular_distance,Proba,plx_sn
64380636350910464,55.879802083014745,22.158174613753417,7.407734326818096,0.018777253,19.658834319467623,0.021704167,-45.71134755190139,0.014998409,10.233227,1.0394521,64380636350588544,64380636350910464,0.073546804,1.0,394.5057503835733
64401389632616960,55.34784133301275,22.031509901246583,7.300314696756316,0.07231247,19.504751573171244,0.08715113,-44.142929038949134,0.06575536,16.889109,0.98250765,64401389632616960,64401389632616960,0.054888554,1.0,100.95513290849078
64441143849872512,55.411994972363985,22.27773027977489,7.502620664779662,0.066151336,21.008023379143744,0.076477334,-44.60347297604497,0.05502749,16.556376,0.9225882,64441143849872512,64441143849872512,0.15581018,1.0,113.41601148375129
64574352259640192,54.42237617359707,22.2884749156679,7.417864263812696,0.11629466,20.242806493693568,0.13209137,-44.97565344431043,0.10366074,17.296213,0.9769417,64574352259640192,64574352259640192,0.2720579,0.9,63.785080799031874
64720179284934016,55.09941652410235,23.069039348143807,7.405449545963815,0.06818649,20.74053987817549,0.08151361,-44.93251892351401,0.061928846,16.604225,0.9961211,64720179284934016,64720179284934016,0.07438561,0.9,108.60581558475205
64837242912474624,55.872124314048335,22.734611125652357,7.532518558405384,0.022165086,20.07361040924858,0.027618198,-45.96376909847048,0.019842343,8.88526,1.0980439,64837242912474624,64837242912474624,0.11397168,1.0,339.8370986469529
64956127609659008,56.45578142319428,23.142873769171167,7.620617578753752,0.0667985,21.004832827248883,0.0870306,-45.229861724922955,0.053000037,16.65293,1.0455467,64956127609659008,64956127609659008,0.097726844,0.9,114.08366201324222
64960663095015680,56.73798824228322,23.25047049143303,7.384762820159983,0.027009666,20.41595636540456,0.030640602,-46.05522995907874,0.021909427,14.486368,1.0136526,64960663095015680,64960663095015680,0.08120318,1.0,273.4118529805851
63995562466405760,56.70921754523774,22.211633483804448,7.066697909247392,0.13903295,20.74025760401136,0.16051309,-44.14092913446135,0.1117817,17.78173,0.99503624,63995562466405760,63995562466405760,0.19556186,1.0,50.82750644009202
64094037476647040,57.70410557714868,22.66984055724213,7.386205225594046,0.03354169,18.29780707062388,0.044494182,-44.92903716810198,0.025902785,14.9738245,1.2357466,64094037476647040,64094037476647040,0.029001476,0.9,220.20968838105873
64148738180119680,57.691890731724996,22.93047700918125,7.329901757417433,0.012998136,19.432050778551144,0.015992705,-44.96311213605481,0.010610592,12.54847,1.0103427,64148738180119680,64148738180119680,0.115072176,1.0,563.9194644922611
64276315888567424,54.62432671280883,21.56488406650005,7.363461148744048,0.015609099,19.52966342242958,0.01801136,-45.21088722635951,0.013119669,12.370164,1.1444457,64276315888567424,64276315888567424,0.0981185,1.0,471.7416000894008
64331123967672448,55.63799159070933,21.704494346750018,7.450155858497535,0.053203147,20.53869806925626,0.07031797,-45.722884651284645,0.048475586,16.246473,1.0158869,64331123967672448,64331123967672448,0.13264437,1.0,140.03224042069604
64768763955442944,56.360732948219095,22.525409252257422,7.33043869209861,0.053152155,19.916122118909534,0.06212655,-44.2544686931443,0.051234093,16.099396,1.0771861,64768763955442944,64768763955442944,0.0558932,1.0,137.91423271582934
64909153549943296,57.099724735801715,23.135471631187595,7.440941514656794,0.08653669,18.02642279431928,0.110820934,-46.27659449132801,0.07284799,17.242805,0.9964595,64909153549943296,64909153549943296,0.121037014,1.0,85.98597269767598
64453887017111808,55.45675204081487,22.49340284922183,7.375999275620265,0.1449308,21.207757057570976,0.17512552,-46.047218658806685,0.11092561,17.75966,1.0313549,64453887017111808,64453887017111808,0.042882465,1.0,50.89325069950136
64667535869958784,55.2270611799686,22.9069549713295,7.198159429661968,0.08160863,19.80067674453128,0.09651093,-44.30913428211956,0.070285425,17.04338,0.96593577,64667535869958784,64667535869958784,0.15011548,1.0,88.20340895855871
64795289673433728,56.557800866024586,22.70530804048819,7.446592878019465,0.07163346,19.323375340959032,0.076803684,-46.23261997050603,0.055955417,16.55351,0.97679853,64795289673433728,64795289673433728,0.10087346,1.0,103.95411685590419
64798691287540224,56.41633572294943,22.694265149860293,7.291631614082201,0.031539224,19.830372611939126,0.03537454,-44.158154915313965,0.026671257,7.800061,0.8843448,64798691287540224,64798691287540224,0.24006444,1.0,231.19248570265637
