cluster,seed,mean_R,bias,std_R,cv
pleiades,42,0.9049581767239401,-0.008514705212349427,0.013081172369768124,0.014455002127417177
pleiades,314159,0.9040440258532983,-0.009428856082991155,0.013549289479615357,0.014987422174297998
pleiades,12345,0.9050533117794209,-0.008419570156868561,0.012999989002090893,0.014363782589261706
hyades,42,0.8895231102620146,0.04571518213943926,0.03272876301509906,0.036793606189117
hyades,314159,0.8917924641639717,0.04798453604139641,0.03581697848273156,0.040162907763869576
hyades,12345,0.8920000088820271,0.048192080759451805,0.034205817109979525,0.03834732821679094
