star_index,delta_R_abs,spatial_offset_pc,projected_3d_outflow_kms,group
5,0.0198253484818577,7.81341698724839,5.128254862427077,Top-50
558,0.0184908770663528,3.997373379838812,6.135730104436565,Top-50
152,0.0184292124761802,5.733290211879047,15.226852674852235,Top-50
740,0.0174029870012276,5.993628071919663,18.3361388169967,Top-50
111,0.0169237802990693,8.279331929500318,27.723915309847293,Top-50
45,0.0147535450454552,16.58747799167065,-26.783878717544663,Top-50
368,0.0143180224808031,16.696220853146297,-26.521291600225844,Top-50
231,0.0129603752134042,11.15426708362071,-29.769041840234937,Top-50
568,0.0128860371856761,11.12073878973384,-28.80345361633452,Top-50
498,0.0125421386913276,15.206550875663012,-10.571204789610434,Top-50
439,0.0117241087197281,14.98083237414082,-11.227464106992318,Top-50
536,0.011547685521147,15.251933809877578,-10.07071703748636,Top-50
716,0.0110264665445158,19.769786962254997,-19.65804812269787,Top-50
520,0.0098175011988386,14.745901710876161,-15.665413783731896,Top-50
574,0.0096499387919297,5.252921411165675,-4.800425951477139,Top-50
378,0.0096370556670096,9.635716270797504,18.27312100419216,Top-50
382,0.0095472619850163,12.212263555922892,24.496924219416975,Top-50
384,0.0093908793754177,5.40833748987991,0.5702259326075237,Top-50
137,0.0093580879813627,8.95988454405508,9.506932063310849,Top-50
268,0.0090440287037525,10.275544385108905,-7.708895414445763,Top-50
98,0.0089029504632579,5.738136233232379,-10.928513204940662,Top-50
761,0.008536306646978,5.054226261730136,-2.8981763519606734,Top-50
236,0.0084300481441271,10.48868251525428,-3.9182364816786337,Top-50
626,0.008312800591556,10.821141703576016,41.31992224101518,Top-50
571,0.0081543523656906,16.406009012427486,40.631355616443486,Top-50
201,0.008122480551477,2.850685400684037,10.718633709791828,Top-50
730,0.0079588310736198,6.666904474913656,6.784553772245584,Top-50
365,0.0079270323256118,10.521777186394724,-10.82770662324343,Top-50
344,0.0078779519876381,17.356383006235813,4.7322694566391625,Top-50
659,0.0078684088110514,13.026422807060706,-9.442501691225164,Top-50
719,0.0076852664992217,13.70280998765703,-15.873722277682695,Top-50
489,0.0076000968579753,12.225334231185606,49.03267059481843,Top-50
441,0.0075340820933099,8.906541417485235,-5.861484920658703,Top-50
470,0.0074987228805061,10.488217862451421,47.40080877118647,Top-50
778,0.0074776083888509,12.359059460076583,8.113778213250953,Top-50
410,0.0071807919199864,10.919982831903544,20.308630205797982,Top-50
461,0.00716655465421,2.5148532319774377,23.198275087864065,Top-50
61,0.0071535006588822,5.706679021802964,63.27139791305776,Top-50
323,0.0071068444805054,6.8176905769467115,-28.29857174781574,Top-50
