dr2_source_id,dr3_source_id,angular_distance,Proba
64960663095015680,64960663095015680,0.08120318,1.0
64962174923490304,64962174923490304,0.14799449,1.0
64963377514329984,64963377514329984,0.13458288,1.0
64964717544035200,64964717544035200,0.029269597,1.0
64966916567283456,64966916567283456,0.2043743,1.0
64967569402404480,64967569402404480,0.108272016,0.9
64971933089093760,64971933089093760,0.053719547,1.0
64974338270788864,64974338270788864,0.11712327,0.9
64974574492213248,64974574492213248,0.06482549,0.9
64977705525131904,64977705525131904,0.05954318,1.0
64979732749686016,64979732749686016,0.123386405,1.0
64980832261312640,64980832261312640,0.12411192,1.0
64981137202021376,64981137202021376,0.097914845,1.0
64981863053470592,64981863053470592,0.03804078,1.0
64981931772948480,64981931772948480,0.04620298,1.0
64982344089813248,64982344089813248,0.1447011,1.0
64984951133439232,64984951133439232,0.038631,0.9
64985127228608128,64985127228608128,0.14319652,1.0
64987876007763968,64987876007763968,0.055494837,1.0
64988322684358144,64988322684358144,0.05507455,1.0
64988803720689408,64988803720689408,0.17883,1.0
64989490915460608,64989490915460608,0.03642567,1.0
64990349908937984,64990349908937984,0.11303556,1.0
64990586130069504,64990586130069504,0.09351067,1.0
64990792288875264,64990792288875264,0.033861235,1.0
64997187496822912,64997187496822912,0.1613046,1.0
64998905483757568,64998905483757568,0.061875887,1.0
64999558318784768,64999558318784768,0.006137791,1.0
64999588381514496,64999588381514496,0.14577341,1.0
65000417312240896,65000417312240896,0.13289769,1.0
65000863988835200,65000863988835200,0.086249486,1.0
65003612767943040,65003612767943040,0.17545973,0.9
65004437401569664,65004437401569664,0.16831674,1.0
65004712279475712,65004712279475712,0.14882062,1.0
65005262035285888,65005262035285888,0.08437607,0.9
65005846150835200,65005846150835200,0.18282685,1.0
65008010814357248,65008010814357248,0.10502599,1.0
65008388771477120,65008388771477120,0.10932752,1.0
65010239900405504,65010239900405504,0.10380862,1.0
65010519075247616,65010519075247616,0.069846235,1.0
65010549138050944,65010549138050944,0.053429257,1.0
65011412428446592,65011412428446592,0.005836148,1.0
65011962184337664,65011962184337664,0.07417115,0.9
65012408860856832,65012408860856832,0.062452324,1.0
65013474012743936,65013474012743936,0.023440665,1.0
65014195567317504,65014195567317504,0.07062823,1.0
65014985841292032,65014985841292032,0.06477549,1.0
65017627244152064,65017627244152064,0.13275437,1.0
65017906418989312,65017906418989312,0.07578114,1.0
65018417518780672,65018417518780672,0.09031816,1.0
65019246448775424,65019246448775424,0.28395197,1.0
65020414679879296,65020414679879296,0.1476889,1.0
65023232178029440,65023232178029440,0.056924533,1.0
65026839950559744,65026839950559744,0.026118848,1.0
65027595864800000,65027595864800000,0.0825379,1.0
65027905102436608,65027905102436608,0.044932183,1.0
65030344643851776,65030344643851776,0.12452921,1.0
65037731987586304,65037731987586304,0.14209588,1.0
65038281743395584,65038281743395584,0.03773259,1.0
65040686925109760,65040686925109760,0.059227563,1.0
65052953351603456,65052953351603456,0.09272135,0.9
65053915424355584,65053915424355584,0.15590218,1.0
65056526764528128,65056526764528128,0.048347507,1.0
65058760147520000,65058760147520000,0.19031724,1.0
65078929312363392,65078929312363392,0.15751022,1.0
65079788307324672,65079788307324672,0.0757205,1.0
65084358152509440,65084358152509440,0.09376685,1.0
65086591535491584,65086591535491584,0.05029982,1.0
65088275162687104,65088275162687104,0.1613032,0.9
65089336018173440,65089336018173440,0.08335559,1.0
65089473457126784,65089473457126784,0.038840882,1.0
65098514364769408,65098514364769408,0.07679789,1.0
65101606741121792,65101606741121792,0.064635836,1.0
65107860213588096,65107860213588096,0.038438052,1.0
65108714911246720,65108714911246720,0.104322575,1.0
65112739296356608,65112739296356608,0.036134247,0.9
65117206062341760,65117206062341760,0.031492114,1.0
65119164567417856,65119164567417856,0.084842525,1.0
65120470237460480,65120470237460480,0.02275471,1.0
65125864716379264,65125864716379264,0.08935713,1.0
65134592089910656,65134592089910656,0.036859646,1.0
65135176205557888,65135176205557888,0.043545164,1.0
65136791113382912,65136791113382912,0.03552193,1.0
65147438335354624,65147438335354624,0.16987634,1.0
65150947325369600,65150947325369600,0.052643016,1.0
65153833543386624,65153833543386624,0.061523773,1.0
65156891560085504,65156891560085504,0.13112001,1.0
65161250950264192,65161250950264192,1.3467678,0.9
65161976802151680,65161976802151680,0.05130462,1.0
65162492198224768,65162492198224768,0.04093483,0.9
65163110673516928,65163110673516928,0.0680776,1.0
65164171528305792,65164171528305792,0.072368324,1.0
65165653294149760,65165653294149760,0.13250348,1.0
65167577439502592,65167577439502592,0.082624055,1.0
65168844452782208,65168844452782208,0.2041566,1.0
