source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error
3309350023296844416,68.60813257604686,14.437550901187409,16.500644899166446,197.13968730508134,12.812932985501348,17.334433,0.9487724,0.12723078,0.15890601,0.1164403
3310857011357831936,66.85088845612013,14.118572019722961,22.33738497873375,108.56474654944674,-18.051971998952997,14.462616,1.0941074,0.023417866,0.027506737,0.018429914
3311207923069227776,65.7283101026843,14.957950081059536,18.111291628363198,-92.22600503728789,-122.56442840412436,12.915172,1.0990951,0.016987342,0.019557001,0.01463464
3311514210073309056,63.60737116437495,14.624971001435416,20.37607494359422,107.84642683790034,-13.751424929802884,8.303924,0.9563937,0.02300196,0.032391127,0.021735221
3311804515502788352,63.273952149488956,15.247700118856342,22.357247280357765,122.44950869749097,-18.603451879024888,14.355454,1.3029861,0.03077869,0.038327865,0.02639071
3312281669189449472,64.5808484916205,16.08822764431631,22.242729901750533,118.80159677568071,-23.34002380212081,9.294652,1.0427548,0.015430937,0.017821873,0.014228899
3312392067028689920,64.74202560373759,16.7897257159988,18.931010230513944,102.98739465279613,-327.9489428466409,14.053024,1.1148694,0.022865247,0.026464557,0.018547788
3312899491645515776,67.37958519537817,16.244692315734465,21.81806190139089,104.46346593636034,-21.071062521463688,9.932404,1.2348258,0.020506015,0.024252603,0.015441293
3312951748510907648,67.49102855410932,16.67271469531208,21.918833298371936,106.76090585888045,-28.325579500310205,8.859189,0.96152544,0.016625928,0.020833569,0.013839888
3312989136204155648,68.98146815254827,16.122712322709308,17.43423673927644,-21.690686932863724,-157.13552048685827,15.112911,1.3811661,0.044044316,0.048587948,0.035704486
3313842529024545664,65.85493019594335,16.777147465731876,20.79504603398395,106.9709172238661,-26.247469207012436,5.573977,1.2823561,0.07085363,0.098759845,0.06582348
3410806054296962176,68.9166554862148,19.96860055895381,15.728802579757868,-8.855889388630242,-49.895185690016405,7.1246424,1.068587,0.021051127,0.024556981,0.01714493
15962198711564032,51.42561595372275,10.83297115683721,20.565668083070225,92.8055483573451,-49.49843610589663,13.403662,1.0304494,0.0180161,0.024414819,0.016868351
43538293935879680,58.77777509781746,16.99836888503202,24.548558117114858,147.6055161117331,-24.542747473776412,8.745134,1.0472568,0.018311711,0.021478957,0.012595099
44556579141068544,56.16270868178187,17.65218335886719,16.957464371552554,-80.2106187670232,-34.47798019032365,17.251453,1.037478,0.08680815,0.1164869,0.08089144
45367056650753280,61.567748068065875,15.698032862131647,21.1750396454176,118.96454993102434,-19.715098672341668,7.7056403,0.9715326,0.022528196,0.02648551,0.019809848
46229825383606144,60.72301291347526,16.526075066910863,17.157780122500387,216.29694656393843,-12.603536675159326,14.2412615,1.2206408,0.025725836,0.029655205,0.017434198
