population,ratio
hyades,0.800068736883914
hyades,0.8145301308933736
hyades,0.831301911104511
hyades,0.8272747427583009
hyades,0.8290912291047479
hyades,0.833973093947832
hyades,0.8714572951134364
hyades,0.7634491916604734
hyades,0.7977704144016027
hyades,0.8649449971547827
hyades,0.9142600161043245
hyades,0.8073504477411738
hyades,0.8675626479994368
hyades,0.8336144946559675
hyades,0.8600640294253875
hyades,0.9575641319384444
hyades,0.8236815910561663
hyades,0.9246663462710133
hyades,0.8358477273219906
hyades,0.8321674960500949
hyades,0.8881833971626081
hyades,0.824922617442603
hyades,0.8907768845942481
hyades,0.9055273430364262
hyades,0.8436148174542418
hyades,0.8375195633999163
hyades,0.9010525475183004
hyades,0.8052450025262917
hyades,0.8251837686457818
hyades,0.8691903605926777
hyades,0.9018762945039165
hyades,0.8767352132245172
hyades,0.8371659766213143
hyades,0.8374089957394057
hyades,0.8039343216592808
hyades,0.8809248663585507
hyades,0.9118206107741936
hyades,0.8687901470522734
hyades,0.936441010985015
hyades,0.8149563790637195
hyades,0.817043290811516
hyades,0.9029664230414285
hyades,0.831399301330378
hyades,0.8757013113084791
hyades,0.8438303192725011
hyades,0.8199399075835898
hyades,0.8626973003872652
hyades,0.889281404241874
hyades,0.8975999536158169
hyades,0.897679173571919
hyades,0.8787025826463571
hyades,0.8370537727918522
hyades,0.9144809539344235
hyades,0.8825511090837785
hyades,0.9103884455836037
hyades,0.8815259535733408
hyades,0.9147425366489297
hyades,0.8894872791273541
hyades,0.8192773199907503
hyades,0.8511457272103534
hyades,0.8083815788446157
hyades,0.8473249058199785
hyades,0.8319196234920186
hyades,0.872694237310814
hyades,0.8186119596494289
hyades,0.9153094160675959
hyades,0.8338890809315767
hyades,0.8218859738527625
hyades,0.9221738991853624
hyades,0.783705266889735
hyades,0.7879136493890954
hyades,0.850061920402343
hyades,0.8896183299922732
hyades,0.8218793668004514
hyades,0.8293514207084495
hyades,0.7900893812518911
hyades,0.8286887599819575
hyades,0.8167049990286327
hyades,0.787437159168688
hyades,0.851555708632605
hyades,0.8184905141970459
hyades,0.8687978409740228
hyades,0.9524086827848427
hyades,0.8372590244246066
hyades,0.7885948730429756
hyades,0.9082899437322426
hyades,0.8487003841956239
hyades,0.8196936525179362
