source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe
2495135141505629952,40.092687109748674,-4.140634703405564,0.9815240461525402,5.257686702988288,-1.2156812852536356,15.151801,1.0686524
2495139019860728064,40.18110392610983,-3.982883135788283,0.9296510422615487,9.995406112900685,-20.579975213762225,16.685833,1.0108893
2495151015704760064,40.31731608583311,-3.816499560886845,1.43619791490975,36.34321204521014,12.925577192336275,17.301807,0.94225097
2495161697288082176,40.05888392566983,-3.8307464046037496,0.480230971725751,-0.573707851669133,-2.4076716522439683,16.90033,1.0554566
2495168710969985408,40.14628359015511,-3.6428528439254233,2.4335709063275006,21.72386569034841,-3.8158502195490165,14.017035,3.1470675
2495181767670596864,40.736053773016415,-3.599315093037051,0.8541530534537789,0.12767621139142288,-4.635453418915344,15.427468,1.004406
2495181905109549312,40.768203159165594,-3.5723249723139543,0.3732362495337465,7.470157251431694,-10.127489471952318,17.011942,1.1375167
2495182420505626624,40.66616804862191,-3.5872116789865305,1.7479575388276907,-5.637920783921903,-0.05176191087587241,16.404972,1.0507002
2495190014007795200,40.34536257279256,-3.6302918692828468,0.9466473362944252,7.879200736637294,-8.041362954458425,14.4178295,1.0987811
2495190903065505280,40.39367262789833,-3.566477791525548,2.567653346198803,-2.6068487859304152,-34.92431691381001,17.885996,0.99782425
2495192006872617088,40.35602314338537,-3.5328576171851713,0.74936759941237,-6.231924072534049,-2.4931477851744885,17.588202,0.9796326
2495192797146578944,40.23047152922412,-3.589803201793794,0.34608070952902836,8.67581269904958,-16.82265064764437,16.266008,1.0183982
2495194137176374912,40.145906910875674,-3.541494396401441,1.9625900788692572,9.720244295858507,7.566562827560951,16.888075,0.9820788
2495194171536113024,40.16302434342368,-3.5346765549390575,0.7315803999493263,0.3436982502481573,-5.659829841773724,16.499552,1.3823354
2495194613917256448,40.24229294599692,-3.545968264215072,9.37230995705006,5.817438758860052,43.04926336659316,17.118803,1.0504086
2495201520224698880,40.381100065128344,-3.452916783687776,0.32877371899712227,5.41341575214596,-2.3173532076924457,17.749008,0.96823734
2495240763341341952,40.05099000771027,-3.554264395970585,2.2259618183384964,25.58635238297651,-23.72332718665659,15.557725,1.1144524
2495250143549909376,40.28720375478762,-3.3562682508572053,1.1101564274197666,7.627130537026394,-5.512610352744605,16.397425,1.0968179
2495253064127668608,40.287972867872256,-3.2720569695067274,1.1651556012061652,16.870921247021478,-4.2291947981675575,16.743172,1.101175
2495270140917634688,40.21588092891762,-3.1107801691086236,0.28985353389167606,29.457275264371248,-8.487712073204957,17.006231,0.90304655
2495274779482296832,40.04131801869559,-3.0550062292194697,0.8546619786796483,5.496369852915738,-13.667171297896811,16.40705,0.9715797
2495462791675118208,40.00765891031901,-3.021110241302051,0.6300996649251148,12.27409603501566,6.214717533083507,17.717125,0.97209644
2495560373332115840,40.897555879436425,-3.410092762623399,0.5838900558495912,0.5613517684098006,3.6308805918993987,17.878616,1.1020298
2495560613850276096,40.85950434300718,-3.438195806567238,5.9268683264734126,34.0494458793408,-99.39228060634926,17.75966,1.0050681
2495562920248392960,40.62443119422696,-3.4411638889325125,0.9606679807978763,7.420335887953275,-9.662323370317482,15.070414,0.9874834
2495564260278212608,40.77652118916961,-3.3668935741313675,0.2508168838714039,7.136732262770813,-1.4166190469262983,17.321566,0.939404
2495570341951902080,40.87006883824437,-3.3475752838914237,1.220931328558338,4.994186504993136,11.786018015203732,14.84404,0.92234915
2495571750701174144,40.80827819411351,-3.2834037689140616,0.9223266889590075,-1.23932765707266,0.6016504137603633,16.200697,1.0173063
2495578038533270016,40.64191239850078,-3.3143899967437984,1.4386586125510967,16.099008493038625,-24.33677157909427,17.754322,1.0426198
2495579034965679232,40.70553813152725,-3.2277938457444155,8.166598518368657,110.03479334183575,-73.43987221878086,15.527659,1.2278372
2495583226853759744,40.62377622816791,-3.16824990970129,0.9820253309834085,8.022467663153186,-8.946274767868506,14.346682,1.360297
2495584287710095616,40.84213337205878,-3.2116605793447803,1.4683906478374427,-3.9899653588582833,-12.037939895627732,17.663649,1.0234567
2495592568406937984,41.15096844248989,-3.2371279052045856,2.196683043545284,17.841480270896035,0.7261668405364807,13.167805,3.0730834
2495594462488245376,41.12507999417833,-3.1476127550965662,0.4413442844511737,4.41951077780857,1.0002731913070748,16.505745,1.1355475
2495598340843155328,41.00211699997453,-3.1139454218926463,0.4599388737864284,9.866787064165194,-16.537661377066577,17.72056,1.0694902
2495600127549582720,41.09311149048988,-3.065952043949435,0.12086620238502786,-3.4880742984489275,-11.853530412537097,17.72535,1.0663576
2495607347390131072,41.258594462638634,-2.9468564256629364,2.435766897658694,16.81719609948424,-21.9779144893617,16.137156,1.0141727
2495611230040553216,40.91528172585295,-3.061039451407064,2.1463912785615977,10.539461348953193,-11.834940102123374,15.531327,1.0035629
2495620846471884928,41.12515071128302,-2.85300368312643,0.808739335550106,7.098159385445241,-13.883831162995738,16.215946,0.95532316
2495630780731660416,40.561528376776,-3.1012664351210275,0.5617827626948162,21.961900347866404,-5.79489560515141,15.181972,0.93567365
2495635689879148416,40.37091054613163,-3.047744721256446,1.6406771558126414,-4.287772216352177,-22.40540939294391,15.867427,1.1238317
2495639886062322944,40.63111023710212,-2.9923474296798034,0.6753999392576897,-2.7698364305020786,-4.205000092793324,15.196986,0.98699456
2495653595597903488,40.272489121157854,-2.8668424475288568,1.3902563208275576,21.94551246512499,6.5156702752790165,16.45194,1.0333896
2495659535537275264,40.321275333093425,-2.852827651584201,1.5726720318054501,14.741540148858977,0.4668769444081718,12.428594,1.3365166
2495659986509237888,40.34436252297324,-2.818487708619354,0.7301278776335803,5.917829223238732,-27.686996593828503,16.20546,0.9346783
2495663693065833728,40.833221907844965,-2.8930169602810607,0.6536344271755176,0.975327323714904,1.6222505009963315,17.807299,1.05837
2495677681774514048,40.897925437092105,-2.65694997643503,1.9551874422025581,-17.590062506404863,-26.980343072215224,14.871673,1.042151
2495682217259958016,40.58306439152011,-2.7298786579853003,2.808940347403062,16.84308189526254,-5.0164317887658925,12.920889,0.99918723
2495682457778125824,40.607380047623415,-2.6924526100648225,0.9151613058013004,-10.998874362428447,-25.15734933270712,14.329531,0.97609043
2495683763448209664,40.67892687260513,-2.6888160839257997,0.32251476248601135,1.995709175752177,-8.591226885104195,16.524052,0.9876776
2495687096343057664,40.61588866825209,-2.6468681138329866,1.9606288039310555,4.275548959867529,7.078496122545228,12.578041,20.718937
2495689501524514176,40.78670569978023,-2.6374214232958373,1.798228213540899,-0.13694733484293026,-19.820970284607263,15.926992,1.0043845
2495695480118963840,40.661385450469155,-2.5041043548792215,0.5093271038568153,4.309012100823284,2.9233090724536024,14.027725,1.1608192
2495696644054891136,40.831938411692484,-2.4541759903024625,3.6175970918284883,0.9760475047873047,-21.057176006025397,17.877455,1.2775187
2495696923227974528,40.76030942028823,-2.4676710611518997,1.0465727965421974,2.690358376687122,-6.459704266352541,14.570272,1.0109514
2495699156610952064,41.475664460695214,-2.905748785661816,1.1649586235644371,3.2641473395941016,-5.993151368995099,17.511122,1.2476503
2495700049964148608,41.48903873085592,-2.843444229657105,7.366181575062073,5.405932825810529,-34.59753711530795,9.875758,1.0171865
2495701183835515008,41.526895249901976,-2.870986787215066,0.5978299108026793,2.853861531350245,-3.071073333894765,16.703104,1.0153248
2495705719320977792,41.46537054002106,-2.764748049316422,0.33885715851560394,0.05882551074523217,2.654520216357036,16.751974,0.9677241
2495707780905278848,41.62252417305347,-2.791520447371466,0.24528748285795232,0.8376122267133237,-5.914172354096412,17.489046,1.104265
2495708365020828928,41.67147014965108,-2.737596009543238,0.6858092258183427,2.239323097695516,-9.0301883703927,14.675756,1.1645157
2495721490440856960,41.17545197314908,-2.650883616025788,0.6155098688380175,-2.6587046669615217,-8.061623287552544,17.200003,0.93827504
2495723895622537856,41.3463190280671,-2.574943562296887,2.271635862183656,57.38901168947734,-66.46201693656879,17.240124,1.041477
2495726330868688128,41.48980696804413,-2.5616829246675414,0.610129971596338,9.755674201408834,-4.463301664869184,12.16359,1.5392277
2495731587908749440,41.560594787439356,-2.4608141337091847,1.5606056999285374,10.244486874142316,-7.01100638220433,16.898317,1.1462746
2495733894306429952,41.85746697173779,-2.61829921275647,0.8021497732977985,12.495288321486477,0.48348771303469523,16.012007,1.0137926
2495736299488132736,41.95519287292047,-2.522855289318506,0.9539724871153339,2.960024539872202,4.471196000028644,13.259667,1.0462527
2495744614544814848,42.13931162628237,-2.411322916287885,0.32695068135839367,25.193852954996252,-9.126506333846557,16.238031,1.0295233
2495746607409618048,41.89588639579566,-2.4233693688518936,1.6084269515719691,2.201969147688011,6.613115471422228,16.02525,0.9966725
2495749386253092608,42.035870987854906,-2.309195084706777,2.665899883668248,-4.21788701006676,-13.169175225184107,17.760654,1.0619851
2495754024817919488,41.69957594650947,-2.4081609224767293,0.4630923505938376,-0.1107626937510724,-5.493853317105735,17.06419,1.0904046
2495755674085361920,41.607602952861974,-2.4072758499906524,0.8205661580101693,13.296704361725276,-40.17992291231076,17.456562,1.0431117
2495761721399353088,41.910895760513604,-2.2944390691278134,2.272691261264748,9.085476576272109,8.03772878722739,17.990955,1.0850459
2495762103651614208,41.935838820871275,-2.2628829851979355,2.2108378311733325,4.9565569022002975,-3.342772631204661,16.80726,0.96048766
2495770380052991232,41.118234130032945,-2.549963707178432,0.5423159858982376,1.0264539465058944,-7.7586883701924085,11.940444,1.152375
2495777084497530112,41.3152870864274,-2.517068115416226,1.3632428251711035,-4.063484838319846,-9.643217312442754,13.104455,1.1820357
2495785296474993664,41.30798464870162,-2.300307334534178,0.6406696207438691,3.2383124452000187,5.386551965856167,15.383879,1.073915
2495788590714324864,41.089456790101735,-2.4201620988204127,1.0186081538135439,-4.145285414894162,-8.863540429745987,12.446372,1.1220212
2495790450435729152,40.88532033880247,-2.4273792094004714,0.39488177503172,-8.891412899465845,-5.002761382836395,17.549366,0.92677
2495791206349970688,40.907554821639934,-2.382923051858192,2.046611283373224,2.966223487911651,-6.589941001384995,17.154581,1.0272894
2495798421895019392,41.16718390113784,-2.2141725499183917,6.16321343482393,-0.05626499001471963,-35.11674621327106,15.006215,0.9602902
2495802098387023616,41.16204349916735,-2.159819480607658,0.5681641174244149,10.726915458050568,-18.4826743558641,16.636477,0.99922997
2495805289547612800,41.49535274889737,-2.2747000244607705,0.5095540018213562,4.235204090061313,2.635256537351712,16.997753,1.0069526
2495808347564336128,41.393783741395026,-2.2514948304710725,1.642211920466444,-13.126739267342018,-57.607756023039876,16.789259,1.0907427
