k_predict,k_shuffle,cluster_mean,cluster_std,field_mean,field_std,delta_mean,delta_std,separation_freq,n_realizations
20,50,0.8455199580968861,0.00412987215073147,0.9808905693265831,0.003449923269112194,0.135370611229697,0.005243900432167702,0.0,20
25,50,0.8590193633433779,0.003533958796164629,0.9817462218602598,0.002902929041383344,0.12272685851688195,0.005647280013668351,0.0,20
30,50,0.8511541591833798,0.004166572075474073,0.9821391528118714,0.002387607080422237,0.13098499362849159,0.004601973993845202,0.0,20
35,50,0.8408298568716986,0.003953111720580756,0.9797784959330176,0.0020710030893223504,0.1389486390613189,0.004570526107505337,0.1,20
40,50,0.8276235220115356,0.0032231893216349487,0.9801387926598363,0.0034638879394500274,0.1525152706483008,0.004530859558275442,0.55,20
