source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,phot_bp_mean_mag,phot_rp_mean_mag
2495135893124522240,40.12563050576123,-4.098517196514843,0.39923072867718956,9.695889142061114,-4.713577284630994,17.839008,1.0829217,18.231243,17.21927
2495142460129900928,40.097727472866985,-3.9519551019525982,4.3174844455629104,11.565707078721855,-14.368945378665858,13.998721,0.9197911,14.676694,13.207941
2495145105829754752,40.19376182916711,-3.96450914211857,0.4631565353061422,0.8327174717536707,-8.114681950933955,17.403625,1.051276,17.86655,16.72088
2495145174549231744,40.17200675197235,-3.955647139359269,1.4826399503442056,-4.5967911081696045,-6.214678391251896,13.986725,1.0057292,14.384229,13.437201
2495162835454730112,40.03222271040888,-3.8001131337362324,0.845091057074336,3.8953524209475052,-13.934290256935096,14.893454,1.0785091,15.2113085,14.410234
2495164897039030400,40.102282326535374,-3.7352136055442444,3.7856400440636593,-11.336403757667266,-1.9407479740750349,13.445012,1.09916,13.9627,12.775067
2495174792643700864,40.32196101753934,-3.774050948632363,0.7365349779193461,6.479491078708461,-2.134563251854728,17.225533,1.1716616,17.810019,16.49853
2495176201392972672,40.3454064373172,-3.712080437047108,5.291043518195901,47.95509926301338,28.15630399913662,10.690686,1.205976,10.990636,10.225785
2495176854228000512,40.448440792594724,-3.70592938403642,0.46762761228840943,-1.148532084199194,-5.349075943863344,15.142905,1.0748811,15.505699,14.596025
2495179396848636928,40.5895760695115,-3.677283052270593,5.663578185488935,-8.728044536641379,-78.229964228635,16.744118,1.0454612,18.241,15.560112
2495182557944564352,40.62425599211753,-3.5822271275238973,1.7971025816119992,25.263269406521736,-7.4286871618417925,16.390081,1.0480294,17.220543,15.495318
2495186509314473600,40.667572951122615,-3.490069243337024,2.170819986327677,-0.7697371487324588,-13.828611351447137,13.121117,1.0784134,13.466156,12.61425
2495187741969488512,40.272456388983194,-3.7169159926283917,0.5253990082587714,17.21729687803841,-3.7987111495722314,11.869296,1.0314368,12.353927,11.223187
2495243924437267584,40.14355431219163,-3.442926403069849,3.62269395010824,14.889783722202253,-13.668926334763572,17.414518,0.9892668,18.926691,16.22073
2495261065651390976,40.052881702633265,-3.2744428493241506,0.5766108478933875,0.4694835104829992,-2.7779470361119025,12.9573145,1.0583638,13.393194,12.353736
2495273125919751552,40.004791904475795,-3.0941393756256703,0.2208200443550097,1.1478548839713978,-3.2776939720933687,16.755949,1.0110191,17.050594,16.317022
2495559754856811392,40.86712233460168,-3.4657977759228373,3.0210991544190615,21.957192823347484,-13.394832531851865,16.450014,1.104535,17.591106,15.405815
2495561580218623232,40.70244331229269,-3.4882717360260003,1.2351088125009624,5.633047266939899,-5.102020975074685,16.325975,1.0449166,16.955492,15.559834
2495570410671378944,40.85387871849043,-3.3399997042556318,0.4943056389232602,10.867929090818546,-8.573969554792157,16.083672,0.9418503,16.461596,15.55146
2495570719909023616,40.842789142540525,-3.3160139111124436,3.6550879555272755,30.43253661722307,-24.983305643514388,14.398319,12.440484,15.15776,13.386762
