source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_g_mean_flux_error,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,astrometric_excess_noise,radial_velocity,radial_velocity_error,l,b,query_ra,query_dec,query_radius_deg,query_timestamp,sample_id
3784398561858419328,168.12165511515056,-7.054865042888158,-0.396045160140415,0.44156554,0.5095994179579805,0.4251442,-0.0207462780619119,0.30073848,19.326832,2.5496018,0.5087166,19.511572,19.002855,1.0880588,1.0114415,,,264.3360242788336,48.26160175725195,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784388077842869120,167.74602288170766,-7.081637769620142,-0.1138212263555773,0.31844676,-0.3440253066177058,0.35069406,-0.3071325528040441,0.25961587,19.270226,1.9604919,0.6489792,19.540953,18.891973,1.0482997,0.51665103,,,263.89651746197,48.02990846300965,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
377096788560358784,16.14610223253885,45.90754591277889,0.1338708901253585,0.28287295,-0.1281741365235243,0.30414724,0.1205776860276799,0.19672742,19.358438,0.930221,0.5985241,19.634285,19.03576,0.9864913,0.0,,,125.32146136971866,-16.903197607717434,15.76935568340236,45.82344643946123,0.3,2026-06-03T15:02:04.769118,2
1651306279820174720,267.68054170583383,72.2491920406633,0.0310730597051333,0.14807908,0.284132013439452,0.15578906,0.1334517223190805,0.18667486,18.818178,2.0672581,0.61870956,19.03801,18.4193,1.0441898,0.0,,,102.99540646093472,30.35263734188575,268.1143761268142,72.03492508157821,0.3,2026-06-03T15:02:04.769118,5
1909864414847348352,348.291965111218,31.408323904303973,-0.1672913044384133,0.3672386,-0.8119213106882419,0.3843294,-0.3469050077607465,0.2995039,19.801489,0.77631974,0.6778412,20.072378,19.394537,0.98171335,0.0,,,99.47433038493986,-26.94857791078571,348.3035036763156,31.485273979529264,0.3,2026-06-03T15:02:04.769118,6
894577744283938688,117.18457001113828,35.00884483643911,-0.3753035146250977,0.28735688,0.1744002945360754,0.28707048,-0.2133685615202867,0.17296185,19.194136,0.96968526,0.68074226,19.427671,18.74693,0.99056596,0.0,,,185.1452011963433,26.22901362983936,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
894668763231104768,117.46192044828308,35.015888414992155,-0.4025593653884441,0.71282226,-0.2918464572881845,0.75890064,-0.4170133410688079,0.5026814,20.173857,1.1531985,0.66467667,20.459967,19.79529,1.1441596,2.5559273,,,185.20719936062287,26.449384146703213,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
894674810545116416,117.41751111036848,35.14345336198785,-0.0664348834420225,0.20302467,-0.1457987783866523,0.20027311,-0.3449511952306494,0.13659701,18.525606,1.278458,0.6421757,18.790297,18.14812,0.9775849,0.0,,,185.05905178549588,26.449242922942,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
894569497947240832,117.08724421489484,34.834892420751494,0.3169085169311167,0.29217792,-0.6607971309505571,0.3134622,-0.6889743584499837,0.20220219,19.326313,0.9064778,0.6968193,19.612314,18.915495,1.0740155,0.5218746,,,185.30686423035036,26.104213733809356,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
894578263976655488,117.25783356338508,34.988956750707345,-0.0046001348620239,0.16583745,-0.3568215044656584,0.15923111,-0.911345881867576,0.10521553,18.335936,1.2049148,0.6914654,18.590363,17.898897,1.0557413,0.40987977,,,185.18494357588588,26.2812337311964,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
894579187392953728,117.20517520924378,35.02414255307991,0.1526326162674785,0.43335634,-0.4432784762956282,0.4311009,-0.5332065451227643,0.25056732,19.725588,0.8258534,0.636034,19.961632,19.325598,0.94760025,0.0,,,185.13398639926345,26.24944918134946,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
894670966550750080,117.55939596441382,35.101761484704554,-0.1169583486169644,0.325293,-0.2131553172002195,0.34829417,-0.3611967202892333,0.24941888,19.32372,1.0650539,0.69690704,19.623787,18.92688,1.0293661,0.35545903,,,185.139181405886,26.54956005263461,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7
3970665521049335552,171.23035881630122,16.797170241601837,0.3877066920254056,0.7990563,-0.2249574481908635,0.69886744,-0.2288449035353016,0.75809336,19.789555,2.7406943,0.6216297,20.040075,19.418446,1.1342602,1.9742115,,,235.76869949505075,67.48762509728206,171.25377344133614,16.72211750174938,0.3,2026-06-03T15:02:04.769118,12
3967660620194745472,171.34880682932314,16.68383179553588,-0.1550081388748049,1.0095714,0.5101585050993654,1.3130467,-0.0756245633331013,1.0709068,20.058605,2.4980147,0.59945107,20.24904,19.64959,1.0563694,1.9989232,,,236.17571572719555,67.525897591355,171.25377344133614,16.72211750174938,0.3,2026-06-03T15:02:04.769118,12
5447626433941415168,157.19220524396164,-33.31703459204766,-0.272728543521828,0.65376735,-0.0921078627179268,0.5999613,0.1914873246285831,0.56714445,20.457859,0.90925527,0.5259247,20.526382,20.000458,0.96617454,0.0,,,271.5374385513511,20.71662613690076,157.37469079403903,-33.060380544625936,0.3,2026-06-03T15:02:04.769118,15
