source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_quasar,classprob_dsc_combmod_star,simbad_main_id,simbad_otype_raw,simbad_sep_arcsec,simbad_match_count,crossmatch_quality,simbad_status,label_confidence_tier,catalog_source,query_radius_arcsec,from_cache
4658266936018089216,77.59015104600515,-68.87786305233493,19.003654,0.67346954,0.2087727001921913,0.44334346,0.4709051,0.5103318068081264,-0.2846710400515287,1.3789222,0.9063312,0.0554901,0.03817878,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4656969993260560128,88.05427389846213,-70.79368008893472,20.068369,0.6969662,0.3116907105355566,0.4296106,0.7255191,0.9608694030206456,-0.1906180867361654,0.95062,0.9059741,0.094024435,1.6425139e-08,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4688990658106747904,13.514510022468595,-72.62174498824898,18.979067,0.68214226,0.0474300866735597,0.21486452,0.22074416,-0.3433913091357731,-0.8596525278484671,1.1438699,0.9056932,0.0026012205,0.09170551,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4688956882454140032,11.731372461733828,-72.927600437931,20.069273,0.5613823,0.0761841497241533,0.67389715,0.11305011,0.9439186000796024,-0.2348297705595308,1.2580203,0.9049028,0.025087453,0.0700097,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4689001481369088768,14.54083030826326,-72.37953122621663,20.168503,0.62402153,-0.2009351499661282,0.71240807,-0.28205064,0.166376990268206,-0.0046868588120607,1.3826307,0.90465146,0.045462836,0.049885616,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
572290102839484160,25.68731081199876,82.78131859040866,19.983461,0.663641,-0.2453362586243643,0.408367,-0.60077393,0.3788983482169779,0.6450302074147007,1.0629323,0.9034558,0.0006103785,0.0959338,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
5401605928082740096,165.67787255617662,-34.69628262885939,18.263763,0.5511131,0.0560686634135282,0.14388049,0.38968915,-0.4937618919924702,-0.4982933154435379,0.9222341,0.9030717,0.0969283,1.7287047e-11,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4652074520809078528,76.71717643586324,-70.35504597539172,19.781698,0.5049305,0.1123021309841372,0.64111644,0.17516652,0.770954391600363,0.6669936571508215,1.2169255,0.9013239,0.0986758,4.4240164e-10,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4589386758685568384,273.19794987009726,28.558674306096147,19.505283,0.51244354,0.0307201038942138,0.30895862,0.099431135,0.7034779772608237,-0.1337299475427282,1.0421273,0.9009056,2.956251e-07,0.09909351,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4655331308588116096,73.06904523749576,-69.70159343465758,20.403387,0.59472466,-0.3818067441877981,0.604419,-0.6316922,-0.0349688050316576,0.6204908369493206,1.0872439,0.9004385,0.09956139,2.7205269e-10,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
3991466666138678784,168.20685974193557,21.65831953322938,20.67653,0.60795975,0.3886572137133868,1.4077435,0.27608526,0.1180051950509787,-0.5466857775908933,0.8868131,0.89999765,2.7297765e-05,0.09997456,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4686408764226703744,18.699036802324123,-73.33746213649218,20.621376,0.61626244,-0.0492329209459597,1.1332328,-0.043444663,0.2336606589304665,0.5983478968188262,0.98804224,0.8978431,0.004115112,0.09804176,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
4657914847476104192,82.01949571984888,-69.96300801150218,19.250393,0.6097927,-0.2396828702913578,0.5718512,-0.41913503,-0.5505092570921952,0.93953305417577,1.2896495,0.8971084,0.00074571936,0.10214592,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
1146748300868116352,161.94010688425124,82.97130510498079,19.70587,0.699564,-0.3734928958445494,0.33129725,-1.1273649,0.2789913561825192,-0.5497835800401818,1.0421462,0.8967802,0.083378404,0.019841393,,,,0,,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True
