source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,distance_pc
4915737301751402368,23.02593647656361,-53.59804529933088,24.546480798821342,0.6982242,-82.08327135217257,0.71054155,20.37656566279513,0.6821628,89.19043,8.320475,31,14.087738,15.104082,12.330383,2.408398,,,False,,35.15558649994547,84.5746289621456,16.3332371203058,1.9503182,0.969438,2.9197562,40.739037428453585
4928347433108236416,14.23177290647748,-51.87546502553087,31.82989178757504,0.87054956,106.55306245947484,0.71196264,5.7690226264010125,0.82633024,65.453636,9.574432,31,8.788604,9.345057,8.025312,1.284613,0.017852262,0.66392344,False,,36.56298649148573,106.70912211032696,15.892337789467554,1.8159338,1.0242571,2.840191,31.41700910181401
5599574508495310848,114.36518722138187,-29.21841000971281,20.60891828127482,0.8267572,13.110676641866805,0.7651916,-80.27950724454976,0.8265627,59.83281,8.286204,27,13.752552,15.085046,12.250704,1.891169,1.9099436,2.0359848,False,,24.9274133511582,81.34303366260266,18.71055072002088,1.7769394,0.9678382,2.7447777,48.52268257614452
5805136969048123264,257.03608189057064,-69.60558528169821,23.448769767841966,0.7788986,-50.10634140366888,0.51985675,-88.94418314650292,0.7624647,61.268482,7.6668105,29,12.168547,13.354303,10.721546,1.8392367,,,False,,30.10503532202212,102.08679231154083,20.63815633572268,1.7872372,0.9378593,2.7250965,42.64616054064451
4621878289355122560,69.76331025042394,-81.91627752169192,31.114344698003304,0.6817075,15.40467213840077,0.76895994,287.23186471487395,0.81327546,49.81452,7.7599893,28,12.606128,13.922322,11.403348,1.490222,27.878328,0.7125143,False,,45.64178131175432,287.64465583645955,43.82450843454742,1.697356,0.9425036,2.6398597,32.139516666863074
1476094811262603264,201.3679486589072,37.71954766221739,31.02710513898841,0.9197376,-210.33050867858307,0.5495639,35.81672420815689,0.6692781,49.412502,7.445161,24,13.733575,14.734554,11.988296,2.3889573,-22.201937,14.257463,False,,33.73473684244244,213.35829164575412,32.59790355133737,1.6938368,0.9266079,2.6204448,32.22988401658549
2157225359678799232,278.06069350796685,57.472621392212325,21.93987651105806,0.567568,-118.51824796409154,0.6907176,92.8127168356931,0.71506053,47.580658,7.0737915,27,13.033968,14.249062,11.847853,1.4918681,-12.448914,1.0005955,False,,38.65594316691234,150.53496439997068,32.52554691132649,1.6774304,0.90707755,2.584508,45.57910795423044
2039606129792672640,290.1771773798632,30.54745050011687,20.17848709343876,0.5769821,39.586538472869776,0.66922677,85.36638260962526,0.541612,55.340992,5.4616404,24,13.476478,14.100525,11.7961,2.3868,4.6675267,10.042657,False,,34.97246753432867,94.09842351557718,22.10625363820921,1.743047,0.8103428,2.5533898,49.55772924745979
1761587197303801984,313.8831982312859,14.141927539149288,23.090606039252027,0.8245388,47.41431705494436,0.7459931,-156.5731910876764,0.6052969,51.513554,5.9329047,19,8.838723,9.2689295,8.231004,1.2246786,-5.1155496,3.023523,False,4950.8223,28.00426770062078,163.59487042436513,33.585804291246376,1.7119215,0.8409152,2.5528367,43.30765499615241
5852426100862268544,210.03013880928268,-63.56494126462717,26.60495328125393,0.7097479,120.0510061897468,0.50851834,-218.335096683777,0.629253,43.671837,7.1709805,29,11.786607,12.894518,10.724323,1.381159,29.294548,0.5973264,False,,37.48507447176197,249.16351765674864,44.39595018490549,1.6402014,0.9122742,2.5524757,37.58698575519049
6714021730425322496,288.95817981440103,-41.11005818965287,21.461189170695828,0.6770138,87.2521333138046,0.73095244,-49.39191485192156,0.7157637,52.526367,5.788804,17,8.69096,9.065308,8.141597,1.2118884,,,False,,31.69978028905152,100.26213652495842,22.14647317779826,1.7203773,0.83179325,2.5521705,46.595740433873516
1292155518186768000,229.0875432978408,37.06965001673765,32.64979228777027,0.6815784,-271.4036626563287,0.58971757,32.90443122843116,0.7968968,41.01935,7.5742908,29,6.9532356,7.253214,6.47467,1.2042378,-41.420666,1.4524934,False,,47.90320878054756,273.3910197825394,39.6940328479205,1.6129887,0.9331982,2.546187,30.628066212065093
2261787850327205248,290.0822471766596,69.91739549923368,21.639113080165316,0.60085577,63.83716565773102,0.63510764,212.42689496920696,0.7997087,45.77188,6.6209416,24,9.160051,9.632643,8.432817,1.2917233,,,False,,36.013822688310704,221.811562875949,48.59215142372726,1.6605988,0.8820086,2.5426073,46.212614920738716
494182239911543424,62.00322421528313,70.00487843915103,24.53448145698561,0.4848793,-66.72852048535668,0.38376197,21.92109226065868,0.4741007,55.122295,5.2772684,29,13.918625,15.10293,12.2113285,2.2719297,-5.2180753,2.682267,False,,50.599150557852994,70.2369541770212,13.570948085912873,1.7413273,0.7977707,2.539098,40.75896210617787
6022999077758917632,243.1697812281217,-34.376164092418755,24.6113841782552,0.6975189,72.99655022738366,0.77827185,-24.517865507688548,0.49047774,49.39304,5.961874,18,13.214347,14.227436,11.669899,2.03104,7.866732,1.2319905,False,,35.28418327120831,77.00403933659616,14.83197107932159,1.6936657,0.8427262,2.536392,40.631603357097084
2296691950032196224,270.5558783256496,83.23437512247035,37.58105851585247,0.57732755,-93.07713257384312,0.7029431,179.3140903792949,0.7460746,43.9227,6.739881,29,14.453472,15.993947,12.61086,2.4730067,-26.65325,8.729537,False,,65.09486434722052,202.0319173218002,25.484280670340496,1.642689,0.8887343,2.5314233,26.609149382478922
6400160947954197888,320.3708445905063,-66.91885062855162,31.70305479425217,0.5759337,104.06412499639283,0.48626715,-99.48600054976754,0.6422234,48.12634,6.056402,27,9.993517,10.895469,9.05813,1.3122464,5.003772,0.44148508,False,,55.04636224329321,143.96807429653708,21.527147512745035,1.6823828,0.84858334,2.5309663,31.54270168883858
1030578231604610048,127.86435542498032,54.4597159447218,24.357062759438858,0.7837903,-170.67365381586148,0.70493144,-155.3620911242467,0.66179705,46.14639,6.2645707,19,9.30613,9.798304,8.6505375,1.23082,24.56634,3.4810855,False,4764.1265,31.07599450917627,230.79617731963253,44.91848485607811,1.6641377,0.8612099,2.5253477,41.05585348596598
1524803932288582528,199.1199918096356,40.12027488666614,36.78430533304751,0.6364615,286.67222916278064,0.37606558,-327.7218645891304,0.36574647,49.91066,5.623821,27,13.839675,15.044996,12.196341,2.151222,,,False,,57.79502066317807,435.4108261204976,56.11229953131842,1.6981933,0.8211086,2.519302,27.185507268546584
5408308138660576384,151.46279843536186,-47.32092154213903,20.85331024532946,0.61039865,-45.913761617847626,0.6609746,77.08369879342743,0.65818125,40.956345,6.9358044,27,14.265381,15.807481,12.891026,1.6678739,21.807379,1.7952248,False,,34.163427850869446,89.7216257408234,20.395930918011494,1.6123211,0.89959097,2.511912,47.95401728720605
1866215589940389120,315.31877706948273,33.24185192455687,49.784021123792655,0.7382517,325.5527908071197,0.570315,-164.23093825101068,0.70141363,37.482445,7.5360403,28,11.2303705,12.614336,10.061777,1.4376615,-39.176872,0.47638878,False,,67.43502529204652,364.6318975091339,34.72050935554161,1.5738279,0.9312565,2.5050843,20.08676634443421
935430721585996800,121.3311059924016,51.16296582780839,22.712314251227337,0.6865601,-33.39348323814031,0.6896973,-80.80152316122492,0.5776626,46.03793,5.912609,18,12.751554,13.797017,11.295853,1.8856379,12.5241585,1.0415701,False,,33.081320102814814,87.43003412986825,18.24822646019966,1.6631157,0.839642,2.5027578,44.02897868260878
6347165552647512960,288.0545924544375,-83.484279132426,25.29188192043604,0.6509412,133.39040368466934,0.7866205,-127.7580572416417,0.7934434,37.62266,7.359058,25,7.138142,7.3676534,6.7388353,1.1950799,-13.554972,0.5978114,False,6286.2974,38.8543269167532,184.70279095161948,34.61893591694138,1.5754495,0.92215735,2.4976068,39.538378486260136
935690133313703808,119.93237741358328,50.68762919339272,20.41964991683925,0.75656176,10.770783587060066,0.7493852,-134.37954166769256,0.67261064,43.24303,6.2204814,17,13.338744,14.225338,11.889756,1.9193491,8.696756,3.9304104,True,,26.990063601921857,134.81050032508003,31.296576340861808,1.6359161,0.85856616,2.4944823,48.97243606391806
