max,mean,p95,top5_mean
0.3057688986667274,0.22528767404612682,0.30470073018297983,0.28588717995385576
0.3013153165232632,0.22966138704847727,0.2958310898561976,0.28064421491505065
0.3425567956081919,0.23321521039682336,0.31724262134278375,0.3076780246020804
0.44916228853038453,0.2432058388910968,0.3743834371292689,0.34679226273475494
0.30585204296493196,0.22826570590662434,0.29862033322818254,0.2919268106653156
0.3427590173505632,0.2377370843214583,0.31652927168409695,0.31660935803615564
0.3607489043335091,0.22822778513083977,0.3368088858551165,0.3158322428722497
0.42526887070031966,0.23640422838577804,0.3898768813143775,0.353099848680129
0.3494929921422824,0.22408711707236273,0.3188930228565017,0.3022097349697354
0.39023047725653,0.21002098874320838,0.3212105716097619,0.3085823433228032
0.398916787840686,0.2332753444950932,0.3669053088849285,0.32605703103946865
0.37102729599766093,0.24638103692944027,0.3633652532375921,0.3479268173028099
0.3860246922619684,0.24091661557329958,0.3193200449368416,0.31001804378736153
0.6619645752231612,0.2540279658082306,0.3307130503335364,0.3609860281456182
0.3323116508446826,0.23805947305085737,0.31422851359202664,0.3022641243599128
0.3812788314005856,0.23686961366705656,0.30603855355029946,0.3051562792162777
0.41946337196421274,0.23584838607481604,0.3538105563607529,0.34253777008805447
0.43366845476746696,0.23605076755272672,0.3592346924511631,0.3279662749431786
0.3992022027843176,0.24624260131946016,0.3643535690548725,0.341220209599875
0.2983659337271537,0.2248627366331849,0.2853728042009119,0.27786507055237586
0.3518304666114399,0.23478842985456083,0.35057295717072834,0.3375259075026853
0.32304645303814716,0.22956319011424484,0.2825903214550261,0.2821126174908093
0.4375119119264037,0.2460398901951779,0.3920400509178873,0.3363541999820621
0.36626364359520686,0.23900990859349286,0.3328024864251899,0.3197040748332469
0.5372370345831806,0.24761004525065522,0.34926999969595895,0.3528012703885645
0.36142361225214914,0.22505581798394994,0.3158240845897929,0.31116168611494216
0.405612481808166,0.24376502219632948,0.38682198315024546,0.3498142610062144
0.41734179010059624,0.24265524764801416,0.37553726823618516,0.36484489040479784
0.3996704467282011,0.2417261743497624,0.3747056613058518,0.3429290267047258
0.4550934630957891,0.23618567453929895,0.3390835735572615,0.3349232317949878
0.3778533103697409,0.23885533998737948,0.33171833401754314,0.3135914406706556
0.32567435172884385,0.2210491625522016,0.3209980349169292,0.31839139851234755
0.48356536913446335,0.2330274822512509,0.3191954396816276,0.3202284810879723
0.4169889890361001,0.24858580760786128,0.3614566652012086,0.33965737643651667
0.3644715526264878,0.24133482810335233,0.3447737809861391,0.3438723059055856
0.33468247623777425,0.22557697384774428,0.32409817127986634,0.30700922939222275
0.3871679195051564,0.2235942855770971,0.31329523645914287,0.3026579516431568
0.3116016640542801,0.22144669940380385,0.30039245023350375,0.2847486918247914
0.367440394587224,0.21546217333790307,0.3316834138677447,0.3163420047368636
0.3237142339665139,0.22519474191347968,0.31108827344565965,0.29667331400421454
0.4753192769979341,0.24635132144673744,0.4450503792861193,0.37091626046940085
0.4143776408169139,0.23150006160925662,0.33806076949333386,0.33120906814888695
0.3696377228364914,0.23415496210401382,0.32342103424436003,0.30808149827768083
0.32673363178571196,0.23949373992831835,0.30028542882642056,0.28858341208567917
0.42783641609180006,0.23436366762002556,0.33937607527672103,0.335559186203943
0.3646501840693452,0.22582703671524396,0.3118571450232627,0.3051223407566107
0.441274138972464,0.23494699852619008,0.360991659128512,0.3506083795172772
0.35820101907719504,0.24170849015811474,0.35091026101469885,0.3220763534723006
0.4359120379208718,0.23930085478632823,0.39462694843498436,0.3250078716280191
0.3457248484230898,0.2290327115156213,0.3154086086018734,0.31196518835136955
0.3150842682914217,0.23166150496460253,0.2975352531916826,0.2936381817384566
0.408886622768954,0.23007503614502536,0.36595416140100057,0.3450323625037836
0.33064460164271886,0.21910408643480847,0.31324556284676774,0.3061462298922939
0.4046833308491718,0.23469866784191934,0.3457297074180493,0.32502372779710714
0.3329250003665256,0.22828160113799062,0.3242091714711792,0.30022490940310476
0.37523980938097706,0.22462217115157943,0.3624279097135664,0.31859903727379685
0.3938604602207498,0.2422799595608114,0.31953383210264263,0.3116303711713463
0.43467978960170917,0.22706660548753557,0.3305326555745422,0.31977381364991825
0.46138169689372815,0.23923336731423706,0.3798284204215736,0.34159416239442647
0.3751398847579776,0.21618785790518139,0.30290969984012095,0.30037869567466396
0.49178082054469796,0.2488107679846409,0.3585209417529858,0.35956477806684156
0.3718040678800523,0.23379501794048427,0.36829225011006045,0.3162918788156056
