source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,in_nss_orbit,in_nss_accel,in_any_nss,pct_bin,distance_pc,M_G,gal_l,gal_b,anomaly_class,NUV,NUV_G
3227308623164447616,76.02629554987988,-0.6496952551542376,20.63125928831204,0.017365439,60.5836094401052,0.016131522,-143.7115845086944,0.011470742,0.96574366,0.088109784,19,8.421078,0.88895226,8.778972,7.8900194,1.2080609,-40.581142,0.12813714,False,5549.893,1188.064376047295,155.95958853110255,35.83502782415585,-0.015138133,0.036672693,0.021534558,False,False,False,Bottom 50%,48.470138735860736,4.993706685981568,200.5597369942134,-24.009006266729926,Below Top 5% Threshold,,
3792415822690670720,173.31939698988427,-3.402822435008116,28.76330811691302,0.019133683,-119.63819035656196,0.025010144,-118.2972851799843,0.013193316,0.9459076,0.06299816,12,10.514325,1.879118,11.442138,9.56302,1.3195227,4.8080983,0.18670467,False,,1503.2812906360664,168.24845994168115,27.728965446459224,-0.024151288,0.02653252,0.0023812316,False,False,False,Bottom 50%,34.76651558768351,7.80851916764657,268.21032752912896,54.114276105350825,Below Top 5% Threshold,19.948999404907227,9.434674404907227
1240498331609669120,216.3761343789239,20.587574701543083,22.878308907626188,0.017852917,133.2338738904208,0.014993161,-581.3437423177572,0.014902322,0.8755754,0.10588413,19,7.1206465,0.76977444,7.4168153,6.647041,1.20319,-48.550552,0.12074112,False,5750.916,1281.4885380233643,596.4158045222003,123.57955477736006,-0.057706438,0.043709606,-0.013996832,False,False,False,Bottom 50%,43.70952433755552,3.9177660981510174,21.07020415952402,67.56202321125173,Below Top 5% Threshold,,
5465407461108449408,151.1424673333433,-29.07071407313134,26.32310371413296,0.0148067,25.875786696882138,0.016113058,-25.42322756981669,0.0144532425,0.9827072,0.07762448,16,10.314717,1.5836172,11.061931,9.478313,1.2738433,-7.8175836,0.23749222,False,4204.681,1777.7832888117885,36.27529237992755,6.532737823615696,-0.0075758607,0.032467432,0.024891572,False,False,False,Bottom 50%,37.9894411715248,7.416402474567559,264.38323828423574,21.04339350375809,Below Top 5% Threshold,,
2767384425386994048,0.3037099980467239,13.972781783641963,27.71179805226479,0.019945703,26.55170271324011,0.022161389,149.687732186206,0.018032238,1.0332841,0.08579334,16,10.45141,1.8283396,11.344791,9.516452,1.3143582,-10.254606,0.163111,False,,1389.3617803998948,152.024373322246,26.00578207317045,0.014219733,0.03574719,0.049966924,False,False,False,Bottom 50%,36.08571331654438,7.6647335272949135,104.86808021214968,-47.12982452295269,Below Top 5% Threshold,19.85700035095215,9.40559035095215
2209478481561200256,353.525869320054,65.54146794109782,22.40855658281181,0.010761699,47.73234340080441,0.012925331,142.32595532531474,0.010766727,0.86611146,0.04383735,28,9.299183,1.1178503,9.776419,8.658568,1.2266552,-45.490093,0.16614616,False,4871.2314,2082.250877947596,150.11680174382815,31.75680649187405,-0.062426217,0.018632816,-0.043793403,False,False,False,Bottom 50%,44.62581051592752,6.051252414690271,115.03533523214423,3.862288047119726,Below Top 5% Threshold,,
3413174741644826112,73.27041649189599,22.234576125318625,37.83675333064829,0.023046609,146.82772172241465,0.026516581,-133.02521643512415,0.017358841,0.94366467,0.0965079,17,8.4831295,1.2255216,9.01958,7.7940583,1.236512,26.243473,0.13090168,True,4677.404,1641.7492615601764,198.12644466049065,24.822755243086384,-0.025182305,0.040011767,0.014829462,False,False,False,Bottom 50%,26.42932894535605,6.37269881847477,178.82190945191152,-13.54646266353545,Below Top 5% Threshold,16.305999755859375,7.822870255859375
4440448734652648064,247.80746273435687,8.820651890949561,26.34480915554996,0.016040519,-45.156830426528494,0.015197249,-1.861401121038828,0.012576707,1.0116943,0.0868465,20,8.695353,1.0793486,9.153532,8.074183,1.22145,-29.931765,0.14261429,False,4989.4194,1642.3913311543631,45.19517837450865,8.13239473339941,0.0050493083,0.0361682,0.041217506,False,False,False,Bottom 50%,37.95814173849629,5.798828284236244,24.33409218380428,35.10062405343781,Below Top 5% Threshold,15.800000190734863,7.1046471907348625
6810899936168987392,324.5364375189577,-27.25792440594861,23.09810094508713,0.017247038,26.772092493831657,0.01774571,126.9239841894806,0.012466229,0.8365677,0.054300845,19,9.937338,1.2672997,10.496281,9.228981,1.2416704,-18.572905,0.1555663,False,4564.2705,1339.2503104517295,129.7167787875948,26.62203701512613,-0.077498905,0.02296453,-0.054534376,False,False,False,Bottom 50%,43.29360246443533,6.75521937500775,21.18370526205551,-47.29911139350695,Below Top 5% Threshold,,
6447036461541073920,297.70173036402304,-59.1880876970216,26.95488937922796,0.017678391,-96.69637242030656,0.016983427,-570.5412514577148,0.013067601,1.041728,0.08646537,20,8.831468,1.0562105,9.273088,8.216878,1.2242517,124.08175,0.15845124,False,4947.7085,1524.736560696805,578.6773782118859,101.77013574413228,0.017754346,0.036015883,0.05377023,False,False,False,Bottom 50%,37.09902073538548,5.984655769287482,338.030415363424,-30.5572172383966,Below Top 5% Threshold,,
