pixel_id,cf,star_count,mean_pm
903,0.9202161209686829,447.0,6.148294309930686
1702,0.8959483904868945,876.0,6.68550979194895
2012,0.8611556984127351,417.0,6.158749113367404
2014,0.8339629585840576,456.0,6.241862398604263
2110,0.7927176806842331,45.0,5.716550541391313
1708,0.7675501197290681,338.0,10.44005157283093
615,0.7674827473470515,426.0,3.5404655583366527
514,0.7619345536880769,433.0,4.421000977081452
1105,0.7580182837136867,449.0,9.557364140275872
413,0.7574193816322274,421.0,7.724285278175212
1709,0.7492260757194282,77.0,10.385938740467946
2010,0.7464180411925413,402.0,7.215042742286419
815,0.7169030886516076,861.0,7.623101422689111
415,0.6933554065874104,319.0,5.781783779313756
414,0.686990691559907,122.0,6.968727288127838
1209,0.6853922093381003,412.0,12.51125043938406
1208,0.6817403990668048,420.0,12.472418474959156
1212,0.6593585404093386,384.0,16.6075173140676
718,0.5956545559607297,443.0,6.871047880238717
507,0.5650522018075456,439.0,10.467926326246028
1007,0.55757392809435,427.0,8.380981074457543
2414,0.47923748372682606,459.0,9.012789942058
1717,0.47406531514111405,423.0,12.298111582772732
216,0.42019803981708514,447.0,5.868872451859154
1818,0.30212704690791986,445.0,9.483499778715524
417,0.2565676077093048,440.0,3.108925220355484
