alpha,beta,gamma,max_M,max_theta_deg,mean_theta_deg,max_delta_A,corr_cf,corr_rho,corr_int,dominant_driver
0.05,0.05,0.01,0.10375690342921368,5.923636385239806,3.4551334557666182,0.09838856545092867,0.6376510915637441,0.7817663430813246,0.9845442868411072,Interaction
0.05,0.05,0.05,0.13959483904868947,7.946841364477651,4.180473937011999,0.129898489105287,0.5965098416250852,0.8127455492874697,0.9928563255641398,Interaction
0.05,0.05,0.1,0.18439225857303418,10.447545780140223,5.0838029400221405,0.1675341047375718,0.5710191531491536,0.8300596450936276,0.996278308306639,Interaction
0.05,0.1,0.01,0.14855432295355842,8.449739978048342,5.357732526170624,0.13758034363055427,0.8427293551227898,0.5535766521499217,0.8881832743332966,Interaction
0.05,0.1,0.05,0.1843922585730342,10.447545780140224,6.0780382412936795,0.1675341047375718,0.7743669938884152,0.6463182165997278,0.9359718152937015,Interaction
0.05,0.1,0.1,0.22918967809737892,12.908661335880225,6.973884125536402,0.20326184996014596,0.7179225834293809,0.7082025257754805,0.9625635798769,Interaction
0.05,0.2,0.01,0.23814916200224784,13.3954215787778,9.117945769214892,0.21018271149796552,0.9508671715226811,0.32682631827160247,0.7456442997619804,Cf
0.05,0.2,0.05,0.27398709762172363,15.322282582197097,9.822960934108467,0.23713178965287485,0.9108273269265087,0.4290883555791074,0.814930053378273,Cf
0.05,0.2,0.1,0.31878451714606837,17.681476242719068,10.697568484211622,0.2692019485160191,0.864429460038344,0.517900698339039,0.8693786116094523,Interaction
0.1,0.05,0.01,0.15375690342921366,8.741166758546548,4.8079296597633725,0.14200536013800602,0.4115933605184588,0.9187004366359056,0.9915263670642394,Interaction
0.1,0.05,0.05,0.18959483904868946,10.735560239396268,5.529189891131977,0.17178041441426806,0.4339953782575079,0.9084291711630692,0.9949250866998631,Interaction
0.1,0.05,0.1,0.23439225857303417,13.191548061666806,6.426380985108233,0.20728966833242546,0.4504550682767074,0.9002755582390987,0.9968320876281249,Interaction
0.1,0.1,0.01,0.1985543229535584,11.230264998436704,6.701565548604089,0.1790329552699057,0.6464643439701193,0.7745836339410201,0.9821338251399149,Interaction
0.1,0.1,0.05,0.2343922585730342,13.191548061666808,7.416407311854707,0.20728966833242546,0.6197688398163241,0.7957641243057655,0.9884135032945561,Interaction
0.1,0.1,0.1,0.27918967809737893,15.599184711464401,8.304457895247516,0.24094747304302921,0.5980867543359395,0.8117311700363871,0.9923507863258937,Interaction
0.1,0.2,0.01,0.2881491620022479,16.07429199969692,10.435147502443296,0.24746191812799068,0.85573441620705,0.5328724921822898,0.8761537424582462,Interaction
0.1,0.2,0.05,0.3239870976217237,17.951655286125714,11.132219234315652,0.27281268800867164,0.8173990410934557,0.5907528614555752,0.9079667939601246,Interaction
0.1,0.2,0.1,0.3687845171460684,20.243193412175472,11.996111276121177,0.3029505619322843,0.7787524434774126,0.6411176699510044,0.9330203985639753,Interaction
0.2,0.05,0.01,0.2537569034292137,14.23865636544232,7.4888452470845275,0.22206287609456665,0.23373974944906542,0.9763406178934904,0.9537919343408467,rho
0.2,0.05,0.05,0.2895948390486895,16.150743530402135,8.198365873390632,0.24850638420748994,0.27390344123618543,0.9664640548485737,0.9656675867411012,rho
0.2,0.05,0.1,0.33439225857303423,18.489536217558822,9.079040242029093,0.27996436507174094,0.3101564729342978,0.9558978282807521,0.9749015365784655,Interaction
0.2,0.1,0.01,0.2985543229535584,16.623222109476,9.357629212413615,0.25493816566475047,0.4071768313476378,0.9205279169463911,0.9903260057081372,Interaction
0.2,0.1,0.05,0.3343922585730342,18.48953621755882,10.058223485376702,0.2799643650717407,0.4209474434722673,0.9144634836327309,0.9925175223940865,Interaction
0.2,0.1,0.1,0.3791896780973789,20.766210347737072,10.926798340073153,0.30971092095650254,0.4335910853546212,0.9085774951868713,0.9941839686710457,Interaction
0.2,0.2,0.01,0.38814916200224786,21.21368085180291,13.02558003063995,0.31546105637086397,0.6540532429961575,0.7680466832638977,0.9793969800218602,Interaction
0.2,0.2,0.05,0.42398709762172365,22.976317896740746,13.70406781000969,0.3378171942688031,0.6388374921265808,0.7806343554414344,0.983314545034547,Interaction
0.2,0.2,0.1,0.4687845171460684,25.116456282789333,14.543454036919155,0.364357551015726,0.623977585936028,0.7923408461442455,0.9865569581015554,Interaction
