source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_g_mean_flux_error,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,astrometric_excess_noise,radial_velocity,radial_velocity_error,l,b,query_ra,query_dec,query_radius_deg,query_timestamp,sample_id,simbad_main_id,simbad_otype_raw,simbad_sep_arcsec,crossmatch_quality,simbad_match_count,simbad_status,label_confidence_tier,catalog_source,query_radius_arcsec,from_cache,parallax_snr,pm_total,wise_found,w1_mag,w2_mag,w1_w2_color,candidate_score,sdss_found,sdss_class,sdss_redshift
3784388077842869120,167.74602288170766,-7.081637769620142,-0.1138212263555773,0.31844676,-0.3440253066177058,0.35069406,-0.3071325528040441,0.25961587,19.270226,1.9604919,0.6489792,19.540953,18.891973,1.0482997,0.51665103,,,263.89651746197,48.02990846300965,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.3574262346257732,0.4611765568470881,True,15.755000114440918,14.54300022125244,1.2119998931884766,8.0,False,,
1651306279820174720,267.68054170583383,72.2491920406633,0.0310730597051333,0.14807908,0.284132013439452,0.15578906,0.1334517223190805,0.18667486,18.818178,2.0672581,0.61870956,19.03801,18.4193,1.0441898,0.0,,,102.99540646093472,30.35263734188575,268.1143761268142,72.03492508157821,0.3,2026-06-03T15:02:04.769118,5,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.2098409829743222,0.31391139394913,True,15.133000373840332,13.857999801635742,1.2750005722045898,8.0,False,,
5682539391022643072,139.35932710495783,-17.162346729584197,0.0053143529487577,0.18716706,-0.0677311311554516,0.16038406,0.0609524155239696,0.11639811,18.63216,2.6970584,0.532238,18.837076,18.304838,0.94374573,0.0,,,247.12136864988773,21.79330763821118,139.4922164508628,-16.91472373699135,0.3,2026-06-03T15:02:04.769118,21,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.0283936337342569,0.0911191696944371,True,15.074000358581545,13.800000190734863,1.2740001678466797,8.0,False,,
377096788560358784,16.14610223253885,45.90754591277889,0.1338708901253585,0.28287295,-0.1281741365235243,0.30414724,0.1205776860276799,0.19672742,19.358438,0.930221,0.5985241,19.634285,19.03576,0.9864913,0.0,,,125.32146136971866,-16.903197607717434,15.76935568340236,45.82344643946123,0.3,2026-06-03T15:02:04.769118,2,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.4732544774088809,0.1759760996310033,False,,,,5.0,True,Other,
894670966550750080,117.55939596441382,35.101761484704554,-0.1169583486169644,0.325293,-0.2131553172002195,0.34829417,-0.3611967202892333,0.24941888,19.32372,1.0650539,0.69690704,19.623787,18.92688,1.0293661,0.35545903,,,185.139181405886,26.54956005263461,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.3595476958218111,0.4194022651326823,False,,,,5.0,True,Other,
894674810545116416,117.41751111036848,35.14345336198785,-0.0664348834420225,0.20302467,-0.1457987783866523,0.20027311,-0.3449511952306494,0.13659701,18.525606,1.278458,0.6421757,18.790297,18.14812,0.9775849,0.0,,,185.05905178549588,26.449242922942,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.3272256688904974,0.3744978115691648,True,17.226999282836914,16.726999282836914,0.5,5.0,True,Other,
5447626433941415168,157.19220524396164,-33.31703459204766,-0.272728543521828,0.65376735,-0.0921078627179268,0.5999613,0.1914873246285831,0.56714445,20.457859,0.90925527,0.5259247,20.526382,20.000458,0.96617454,0.0,,,271.5374385513511,20.71662613690076,157.37469079403903,-33.060380544625936,0.3,2026-06-03T15:02:04.769118,15,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.4171645211738213,0.2124882440698233,False,,,,5.0,False,,
3784398561858419328,168.12165511515056,-7.054865042888158,-0.396045160140415,0.44156554,0.5095994179579805,0.4251442,-0.0207462780619119,0.30073848,19.326832,2.5496018,0.5087166,19.511572,19.002855,1.0880588,1.0114415,,,264.3360242788336,48.26160175725195,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.896911385205501,0.5100215435023648,False,,,,4.0,False,,
1909864414847348352,348.291965111218,31.408323904303973,-0.1672913044384133,0.3672386,-0.8119213106882419,0.3843294,-0.3469050077607465,0.2995039,19.801489,0.77631974,0.6778412,20.072378,19.394537,0.98171335,0.0,,,99.47433038493986,-26.94857791078571,348.3035036763156,31.485273979529264,0.3,2026-06-03T15:02:04.769118,6,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.4555384549402304,0.88292655366072,False,,,,4.0,True,Other,
894579187392953728,117.20517520924378,35.02414255307991,0.1526326162674785,0.43335634,-0.4432784762956282,0.4311009,-0.5332065451227643,0.25056732,19.725588,0.8258534,0.636034,19.961632,19.325598,0.94760025,0.0,,,185.13398639926345,26.24944918134946,117.2971289297347,34.89879402388881,0.3,2026-06-03T15:02:04.769118,7,,,,,0,NoMatch,Tier_0_Unknown,SIMBAD,1.0,True,0.3522104147996969,0.6934010580527897,False,,,,4.0,True,Other,
