source_id,ra,dec,gaia_astrometry_snr,dsc_probs,ps1_extension,ps1_color,priority_score,tier,diagnostic_notes,ps1_viewer_link,legacy_viewer_link,rank
1.284032772956123e+18,216.2512907767356,29.28525268616037,N/A,N/A,Δ=2.20,g-r=0.10,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=2.20); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=216.2512907767356+29.28525268616037&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=216.2512907767356&dec=29.28525268616037&layer=ls-dr10&pixscale=0.262&bands=grz,13
2.8227715333619364e+18,355.75685209363206,19.424111517532666,N/A,N/A,Δ=2.06,g-r=0.12,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=2.06); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=355.75685209363206+19.424111517532666&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=355.75685209363206&dec=19.424111517532666&layer=ls-dr10&pixscale=0.262&bands=grz,14
1.0227816977324792e+18,139.18965014291987,53.44286358756708,N/A,N/A,Δ=2.06,g-r=-0.07,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=2.06); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=139.18965014291987+53.44286358756708&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=139.18965014291987&dec=53.44286358756708&layer=ls-dr10&pixscale=0.262&bands=grz,15
7.584918128843745e+17,169.52285456167112,34.1837107347876,N/A,N/A,Δ=1.70,g-r=-0.25,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=1.70); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=169.52285456167112+34.1837107347876&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=169.52285456167112&dec=34.1837107347876&layer=ls-dr10&pixscale=0.262&bands=grz,16
1.5729239169419402e+18,183.23279842457487,53.460458333848536,N/A,N/A,Δ=1.69,g-r=0.20,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=1.69); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=183.23279842457487+53.460458333848536&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=183.23279842457487&dec=53.460458333848536&layer=ls-dr10&pixscale=0.262&bands=grz,17
7.852527533782668e+17,169.61125766923996,45.689900549592885,N/A,N/A,Δ=1.64,g-r=-0.02,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=1.64); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=169.61125766923996+45.689900549592885&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=169.61125766923996&dec=45.689900549592885&layer=ls-dr10&pixscale=0.262&bands=grz,18
1.4038261754152003e+18,239.6792103266316,51.43528622761492,N/A,N/A,Δ=1.55,g-r=0.20,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=1.55); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=239.6792103266316+51.43528622761492&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=239.6792103266316&dec=51.43528622761492&layer=ls-dr10&pixscale=0.262&bands=grz,19
4.5750904618218455e+18,257.3127608903683,28.446285827962704,N/A,N/A,Δ=1.18,g-r=-0.17,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=1.18); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=257.3127608903683+28.446285827962704&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=257.3127608903683&dec=28.446285827962704&layer=ls-dr10&pixscale=0.262&bands=grz,20
6.915387015781933e+17,135.19956395114443,26.02639204112258,N/A,N/A,Δ=0.96,g-r=-0.02,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=0.96); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=135.19956395114443+26.02639204112258&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=135.19956395114443&dec=26.02639204112258&layer=ls-dr10&pixscale=0.262&bands=grz,21
8.584274898856681e+17,175.32364589875846,59.95815023275538,N/A,N/A,Δ=0.91,g-r=0.24,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=0.91); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=175.32364589875846+59.95815023275538&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=175.32364589875846&dec=59.95815023275538&layer=ls-dr10&pixscale=0.262&bands=grz,22
3.096654657160468e+18,123.71506774743926,6.174758450681816,N/A,N/A,Δ=0.88,g-r=0.34,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=0.88); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=123.71506774743926+6.174758450681816&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=123.71506774743926&dec=6.174758450681816&layer=ls-dr10&pixscale=0.262&bands=grz,23
8.122453214600602e+17,139.6685701559946,39.45841454191138,N/A,N/A,Δ=0.84,g-r=0.06,4,T2_PROBABLE_GALAXY,Gaia: No data; PS1: Strongly Extended (Δ=0.84); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=139.6685701559946+39.45841454191138&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=139.6685701559946&dec=39.45841454191138&layer=ls-dr10&pixscale=0.262&bands=grz,24
5.069719782053509e+18,39.76469826127914,-27.443040954692385,N/A,N/A,Δ=4.29,g-r=0.54,3,T3_AMBIGUOUS,Gaia: No data; PS1: Strongly Extended (Δ=4.29),https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=39.76469826127914+-27.443040954692385&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=39.76469826127914&dec=-27.443040954692385&layer=ls-dr10&pixscale=0.262&bands=grz,25
3.714430039912708e+18,203.71242669200765,4.236763802620394,N/A,N/A,Δ=0.70,g-r=-0.05,3,T3_AMBIGUOUS,Gaia: No data; PS1: Extended (Δ=0.70); PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=203.71242669200765+4.236763802620394&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=203.71242669200765&dec=4.236763802620394&layer=ls-dr10&pixscale=0.262&bands=grz,26
6.158874323829427e+18,192.1093955812076,-34.116281175882186,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=192.1093955812076+-34.116281175882186&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=192.1093955812076&dec=-34.116281175882186&layer=ls-dr10&pixscale=0.262&bands=grz,27
5.464056500618268e+18,148.08491669753698,-30.53085009496477,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=148.08491669753698+-30.53085009496477&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=148.08491669753698&dec=-30.53085009496477&layer=ls-dr10&pixscale=0.262&bands=grz,28
4.657678525440378e+18,84.46494390669656,-69.17229449649243,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=84.46494390669656+-69.17229449649243&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=84.46494390669656&dec=-69.17229449649243&layer=ls-dr10&pixscale=0.262&bands=grz,29
6.650072244365527e+18,280.14229733489435,-55.07350089698404,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=280.14229733489435+-55.07350089698404&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=280.14229733489435&dec=-55.07350089698404&layer=ls-dr10&pixscale=0.262&bands=grz,30
4.658731544067807e+18,80.71888514128639,-68.07397354318185,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=80.71888514128639+-68.07397354318185&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=80.71888514128639&dec=-68.07397354318185&layer=ls-dr10&pixscale=0.262&bands=grz,31
4.854515016847599e+18,51.604206079139104,-37.12820894633218,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=51.604206079139104+-37.12820894633218&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=51.604206079139104&dec=-37.12820894633218&layer=ls-dr10&pixscale=0.262&bands=grz,32
4.921284891965817e+18,14.493362584044696,-53.2002015725533,N/A,N/A,N/A,N/A,0,T3_AMBIGUOUS,Gaia: No data,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=14.493362584044696+-53.2002015725533&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=14.493362584044696&dec=-53.2002015725533&layer=ls-dr10&pixscale=0.262&bands=grz,33
8.493501280452268e+17,159.68835393391356,53.49960458226262,N/A,N/A,Δ=0.00,g-r=0.00,-1,T0_REJECTED,Gaia: No data; PS1: Point source; PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=159.68835393391356+53.49960458226262&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=159.68835393391356&dec=53.49960458226262&layer=ls-dr10&pixscale=0.262&bands=grz,34
1.4332692757421353e+18,261.32942094035946,58.81676030225181,N/A,N/A,Δ=0.00,g-r=0.00,-1,T0_REJECTED,Gaia: No data; PS1: Point source; PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=261.32942094035946+58.81676030225181&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=261.32942094035946&dec=58.81676030225181&layer=ls-dr10&pixscale=0.262&bands=grz,35
5.083253159578249e+18,59.20696953106405,-24.496068061406696,N/A,N/A,Δ=0.00,g-r=0.00,-1,T0_REJECTED,Gaia: No data; PS1: Point source; PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=59.20696953106405+-24.496068061406696&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=59.20696953106405&dec=-24.496068061406696&layer=ls-dr10&pixscale=0.262&bands=grz,36
1.4382657013904947e+18,255.8106281373936,61.45112876027988,N/A,N/A,Δ=0.00,g-r=0.00,-1,T0_REJECTED,Gaia: No data; PS1: Point source; PS1: Blue color,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=255.8106281373936+61.45112876027988&radius=10&width=3&height=3&color=color&imageType=stack&size=512,https://legacysurvey.org/viewer?ra=255.8106281373936&dec=61.45112876027988&layer=ls-dr10&pixscale=0.262&bands=grz,37
