source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax,parallax_error,pmra,pmdec,ruwe,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_quasar,classprob_dsc_combmod_star
849350128045226752,159.68835393391356,53.49960458226262,19.450712,0.63357544,-0.08405802749109292,0.42213553,0.03851829145298036,-0.5924156878866023,1.2543226,1.0,8.2836606e-11,1.1381509e-16
6158874323829427200,192.10939558120762,-34.116281175882186,20.703033,0.65522766,0.48733417253948147,1.6681218,-0.47616219093823736,0.3829729007098223,1.246907,1.0,4.7513316e-10,2.0235422e-14
1433269275742135424,261.32942094035946,58.81676030225181,19.090626,0.59552765,-0.43797581776032257,0.27641696,0.2534351539168885,-0.4628371297162416,1.1406837,1.0,7.040008e-09,1.271268e-14
849350128044172928,159.68868012182614,53.50068928752989,18.574875,0.5523405,-0.06555877610464467,0.2353437,0.28754236935227245,0.7115164194460231,1.1531821,1.0,1.6799475e-11,1.10573024e-16
1572923916941940224,183.23279842457492,53.460458333848536,19.533472,0.60222054,0.1296458018932054,0.28805664,0.07988064533468567,0.09838639015736617,1.0411122,1.0,3.1963328e-17,4.5881805e-16
3870568662516153856,159.5333278825914,10.380798213300027,19.067734,0.69856834,-0.4359504831623703,0.47476143,-0.5879924463992514,0.4414322137564043,1.1797944,1.0,5.050426e-16,4.295842e-09
5069719782053508736,39.76469826127914,-27.443040954692382,19.49978,0.59742546,0.007726499784121113,0.5304332,-0.894178971113842,0.0056086122163017515,1.2548261,1.0,2.3026453e-17,2.7265508e-13
5083253159578249216,59.20696953106405,-24.496068061406696,20.676163,0.68374443,0.4004392833422746,1.0379994,-0.7470213317050313,0.31804518636024826,1.3125632,1.0,2.8036694e-14,5.2327873e-12
1438265701390494592,255.8106281373936,61.45112876027988,18.422747,0.61343575,-0.18845659957278815,0.17043284,0.07777723763914403,0.27417876003086483,1.1984165,1.0,2.619201e-09,7.943911e-15
2621909485023090048,339.5560993703906,-7.034524692506886,18.917313,0.58821964,0.1553964636320181,0.40678003,-0.56458733955029,0.3893781600673049,1.192534,1.0,1.3406033e-10,2.813506e-13
3973101935737505152,174.9846140714504,16.954960854256242,18.172384,0.63970184,-0.11860254168983661,0.2524644,0.02258251315828997,-0.27426357078531965,1.2105737,1.0,1.7149886e-11,4.680918e-17
5464056500618267776,148.08491669753698,-30.530850094964766,19.077065,0.6091442,-0.2222204700617137,0.4381074,-0.8214008468222425,0.7141367174106432,1.3916535,1.0,3.564579e-10,5.360367e-14
1403826175415200384,239.6792103266316,51.43528622761492,20.40567,0.6791611,-0.24579566912184292,0.6414969,0.15636322897675115,-0.9696647967564447,1.2562193,1.0,2.0490234e-16,9.411198e-16
