source_id,ra,dec,distance_pc,bp_rp,M_G,ruwe,tension_score,nss_likelihood,followup_score,NUV,phot_g_mean_mag,NUV_G
4952751402923758592,40.85702748285795,-37.92878353529694,47.99268094689992,1.0318971,4.513191945073888,40.75,2.487379,0.9496333792755612,0.9147948918047388,12.967000007629395,7.919067,5.0479330076293945
3171511573443110144,68.24185340023558,-16.544069253856744,38.0664993095131,1.7386456,7.385810300780523,38.600815,2.4016514,0.9516723109557133,0.9051163260017384,,10.288525,
2078929961307827200,296.67309100885655,44.34853850916056,40.91827033296271,0.7423568,3.884894663744447,32.786983,2.3551614,0.9547092439917398,0.9010263818513824,,6.944481,
4938555161620867072,33.57873331852074,-49.86267365840998,33.819943662452594,1.6261625,6.548006600945427,37.774414,2.4627347,0.9240650627958548,0.8963199018326715,,9.193871,
1873271430935980160,314.5491182430022,40.19229520440285,38.673881673225786,1.7233,7.225770179373633,36.396687,2.3670802,0.9436931442895232,0.8959324283071257,,10.162859,
488099260551658752,55.02373146572637,63.87397285600121,41.55021405370822,1.0009532,4.968582672623796,28.841726,2.2706196,0.960137029828062,0.8935319259800271,14.61400032043457,8.061449,6.552551320434571
6578350001374194816,325.54332617016723,-41.12621315461098,29.94396316213617,1.3159437,6.079416600869926,33.003048,2.2507763,0.9599087301354196,0.890871486221507,,8.460963,
1147577916752169472,139.56099575060227,83.52830103690297,47.462498553148166,1.0272245,5.822802515456125,32.505642,2.2410145,0.9593544174881958,0.8892974966853646,,9.2045555,
5371687288986430848,176.15933897984942,-49.41756259101251,34.524567569559274,1.1855941,6.1386797619118045,37.864445,2.424828,0.9176007523895608,0.8876207444631831,,8.829321,
4805123721874344576,86.95608601317743,-40.06335631474956,46.85644813842781,0.9208088,5.253363176683431,33.33059,2.3202562,0.9394072335222275,0.8874063033054789,,8.60721,
902175202130167936,122.23471851379664,32.8189773927967,23.96286687392381,1.8087511,7.507391124851935,35.78742,2.375377,0.9268789594226624,0.8868990162090068,16.961000442504883,9.405085,7.555915442504883
4273253182601225088,277.2735742275324,0.4400481662925175,43.44509655597207,1.1024733,5.5037356661404,37.74375,2.2491255,0.953114202676868,0.8865848385517765,,8.6934395,
5599363707202178688,114.80680204747448,-29.52752393714421,44.29457560252615,1.7500343,7.212839275220054,43.444603,2.423187,0.9148708831043988,0.8857741379573041,,10.444592,
1565976794456209792,200.8479754605447,57.90600448390408,25.850897591317867,1.647027,7.0773788639742445,34.18627,2.3040066,0.939186398195644,0.8852073507285229,17.78499984741211,9.139757,8.64524284741211
3309540170088830464,68.49438499286096,15.16352719505778,48.44663536921404,1.0252385,4.859347397124344,27.214418,2.2243173,0.954095472134082,0.8840187570822573,,8.2856655,
4241912119057100928,297.90124553499334,2.9767229539295883,42.68963757877449,1.3740349,6.751240661000939,33.08753,2.1899517,0.9576118466691308,0.8817583301306858,,9.902853,
5298126490756239360,136.77581874843898,-61.76393076290197,47.37757691710776,1.0397291,5.160375773199142,29.707933,2.2238674,0.9486505191371508,0.8806945717849162,,8.53824,
560384934529559808,27.48767741677521,76.9924818435848,39.83111999101394,1.0130963,4.849467108566143,32.88617,2.377757,0.9139023520992812,0.8794157149135645,14.88700008392334,7.8505797,7.03642038392334
1189404610382948224,236.13218451286187,11.26631324911478,42.42567836607338,0.7574754,4.2518360239804815,29.831694,2.18252,0.954350300362647,0.8788563177460533,,7.38998,
4934747999530846080,23.36261071414672,-43.9010279330065,41.37883906123437,0.99576426,4.544502491064391,26.003098,2.198442,0.950495268028113,0.8785680890410038,,7.628394,
1937497512876953472,351.6679590426255,45.35442709333743,35.63036735914258,1.8110685,7.549668499636161,32.637917,2.2585354,0.9369398208650084,0.8780768605114635,,10.30877,
371013469896837248,16.99442613077417,39.25244694155732,40.67295770653592,0.78243446,4.581898224413994,25.477058,2.202178,0.9487848204282606,0.878016925244252,,7.628427,
5914654305776844672,253.3912371494312,-60.82249413171697,48.05823091871682,1.4887218,6.594675100700565,30.889908,2.234371,0.9419291067797392,0.8779974605563157,,10.003514,
4912320779822624000,23.479580229148585,-55.52430374497416,41.98740154282161,1.2826405,6.490700007678685,28.416334,2.1493275,0.9579294981200112,0.8767827671148258,,9.606295,
1150745330577624064,131.3910567265507,84.69239089025507,46.36881723935154,1.1304655,6.152350909023694,26.942255,2.1892724,0.9492558361524256,0.8766583376681965,16.375,9.483481,6.891519000000001
2276178670828990080,308.67398481778804,73.65952412867455,42.12034961992228,1.7101097,7.461537163053263,32.21252,2.206418,0.9456052137750351,0.87664835937753,19.79199981689453,10.583997,9.208002816894531
1703002640793744512,245.31724456698245,74.56458104779156,49.56626648698256,1.6021805,6.878235962582034,33.640366,2.2942429,0.9267143948836896,0.8764825051717406,19.731000900268555,10.354167,9.376833900268554
2683284082351171840,331.0740067596428,2.6060514543697053,36.6087727974575,1.4254313,6.286641146663825,28.94093,2.1532972,0.9551905328432424,0.8756442121934953,,9.104567,
2300220420283692672,324.24405560019903,82.92107202270006,48.47767052173423,0.9030628,5.145854286603969,30.176743,2.1934657,0.9452436479576092,0.8747842840669803,,8.573563,
4433380077474648192,248.213458802102,3.245207416281944,45.254941572326814,1.1024351,5.307147957385757,28.569544,2.1434522,0.954548938160845,0.8740072729447352,,8.585478,
