max,mean,p95,top5_mean
0.5379474988518,0.4743994953350959,0.5344098715577197,0.5102883365331492
0.5309665034800448,0.47380726671970647,0.5161729266820299,0.5125702750510074
0.5493710590090954,0.46807040769672764,0.48955031781397346,0.4984850066551297
0.5575582327370756,0.47586997571406464,0.5121981005542823,0.5149789563077756
0.507819553632075,0.471867982512524,0.5066873671989346,0.5015703637952664
0.5277297248610189,0.47163345449075694,0.5148283098148321,0.5106607369246333
0.5605946190348341,0.4742130742177994,0.5185651125102984,0.5187663638995877
0.5742692027628676,0.47541759287340407,0.5237242948029919,0.5182131931275953
0.6325035196848436,0.4782571556867536,0.5088986752039867,0.5266144232908626
0.56855803900272,0.4762841941036489,0.5365026381903765,0.5260089698758792
0.6753241768696253,0.48060737460516423,0.5345975865133248,0.5502833333945748
0.612265277421325,0.47966926656872416,0.5025535975456804,0.5211503412913246
0.5104905477490067,0.4702002418171205,0.5007908961826726,0.49967952692860285
0.5573520808414882,0.4737237055687435,0.5238530457058741,0.5201120193729857
0.5839321928625355,0.47616575352774343,0.506400611815801,0.5143952724658354
0.5187063532624966,0.46943333758508715,0.5114444352066059,0.5007331756369727
0.53016056006897,0.47184196864385786,0.5236797790106696,0.5114538484829179
0.5266000106975284,0.47597667637498187,0.5170861029727601,0.510783443111232
0.5454753337729319,0.47061194599629275,0.5072137950633138,0.5120492214758474
0.515032383218829,0.47323848667473306,0.5063674529629629,0.5019058534737898
0.5332430682140541,0.47322551442073196,0.5146325697569921,0.5056893515837249
0.5306816339960156,0.4725948429918204,0.5278926388453629,0.511619341481188
0.5862339638122167,0.4748336678967484,0.5047435012929408,0.5161400490501357
0.5337877889866391,0.4673879351266863,0.5187820357378121,0.5102656387950157
0.5307493075401364,0.47370906581800654,0.5249195120441394,0.5081680111959314
0.5187647172404368,0.4733169198188879,0.5114682436102236,0.5065760391555288
0.5509203562890447,0.4773749269981823,0.5186807242353091,0.5206403232551495
0.5559591566584601,0.4727522021587447,0.5112524978066784,0.5069560445861356
0.5183312768974958,0.4725867893084157,0.511015461485728,0.5025099077247669
0.504638684926023,0.4683500422384085,0.5031826284067513,0.5012822172895853
0.5252700421027666,0.47284700325077383,0.49893917948854316,0.5010354421302228
0.534266901590828,0.4710908851069534,0.5139389538068693,0.509261449774955
0.5213205374369644,0.4692541304764744,0.5124384067262314,0.5087785060721424
0.5101530957283131,0.4708597434581798,0.5100128085020168,0.5019001735417519
0.6457845620572759,0.47627793004522395,0.5154295053027846,0.5303089653538314
