source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_g_mean_flux_error,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,astrometric_excess_noise,radial_velocity,radial_velocity_error,l,b,query_ra,query_dec,query_radius_deg,query_timestamp,sample_id
3784377258820537728,167.81987628096357,-7.120190809292282,-0.3688482043769823,0.4043384,0.404865907763104,0.55729973,-3.1144605345381446,0.37605795,19.591427,0.96471196,0.6892319,19.874796,19.185564,1.1552163,1.0376631,,,264.0195377085086,48.03941604589232,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784325238176758400,168.02025730832997,-7.227199267340016,-0.4538054944089846,0.7400615,-1.569003974454809,1.287234,-0.7592593929799573,0.9423881,20.21882,1.077104,0.5860138,20.414856,19.828842,1.0290684,1.6431829,,,264.3555307768433,48.06247262223721,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784387665528450048,167.75735663597808,-7.12313738986174,0.2758337964460994,0.22427781,0.3985332707664343,0.2911281,-4.598006217876086,0.20039472,19.026745,1.1756371,0.6798477,19.330357,18.650509,1.0047458,0.0,,,263.9454195453665,48.0020041678358,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784390929701213312,167.786535069034,-7.017271695319193,0.5477959836518116,0.2616256,-1.2062256284956552,0.28332034,-3.721119616419397,0.20958832,19.022945,1.1275206,0.65180016,19.296843,18.645042,0.9861511,0.110312566,,,263.89176456630526,48.10573340033705,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784414981518125056,167.82556750066303,-6.951808216374089,0.2458115309657591,0.5105685,1.1474343545945296,0.6246785,-1.2864129962423647,0.3985046,19.999935,0.8526832,0.5562687,20.196522,19.640253,0.99533993,0.0,,,263.8842668083739,48.18163754637325,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784398561858419328,168.12165511515056,-7.054865042888158,-0.396045160140415,0.44156554,0.5095994179579805,0.4251442,-0.0207462780619119,0.30073848,19.326832,2.5496018,0.5087166,19.511572,19.002855,1.0880588,1.0114415,,,264.3360242788336,48.26160175725195,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784357532035500416,168.2834685611557,-7.037480809493277,0.6581574438372917,0.5813785,-3.6132856506585673,0.7852236,-7.174718026181662,0.44472727,19.933012,1.0526776,0.6660366,20.197132,19.531096,1.0509764,1.1556993,,,264.5217680036841,48.365680227476815,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784388077842869120,167.74602288170766,-7.081637769620142,-0.1138212263555773,0.31844676,-0.3440253066177058,0.35069406,-0.3071325528040441,0.25961587,19.270226,1.9604919,0.6489792,19.540953,18.891973,1.0482997,0.51665103,,,263.89651746197,48.02990846300965,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784402886890198400,168.04796125967172,-6.975780861839401,0.0720847238954695,0.25869006,-0.3211356126434219,0.23976709,-3.781537418885601,0.19316101,18.726227,1.3773205,0.5851517,18.981,18.39585,0.9909337,0.0,,,264.1784225074009,48.28611892634502,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
3784351209843573632,168.17779686340378,-7.104919132137121,-1.1822718911129395,1.2994645,-3.81417929107755,1.2295295,-4.2400967525537725,1.163086,20.3233,1.0816311,0.62200737,20.45535,19.833344,1.0902143,2.5243127,,,264.4474296147961,48.251222759962765,168.0195613417323,-7.021577178444455,0.3,2026-06-03T15:02:04.769118,1
