source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error,member_prob
40100808270231552,58.842617151558755,15.508939420086866,6.332535321510956,-5.0087580867381964,-27.438189313322706,17.888453,0.9604211,0.13463186,0.20189637,0.10897522,1.0
40264532423861120,58.44231299948371,15.371515085562624,8.043234594053546,-3.599430200649112,7.839144010134597,13.534758,1.0309886,0.016685758,0.018915387,0.0116531905,1.0
40329712847439488,58.044646831745496,15.671383665949874,6.39606696111637,17.67998391211021,-31.741159762390957,15.229604,1.004273,0.03016254,0.036242645,0.022239853,1.0
40449353456221696,59.15168142080315,16.320978307074732,9.452956677678054,48.595534002689675,-18.059964955227517,16.987837,0.9733606,0.08301859,0.099516034,0.0632103,1.0
42319794533802880,53.112177081626214,15.205037335578247,6.390955935714191,-52.0740699775197,-23.538318350865367,16.050571,0.9972877,0.048386116,0.06511317,0.045578275,1.0
42395248518892672,54.12295517281968,15.586974109307363,8.408436190682878,25.492967915147226,-30.968915770631185,14.722459,1.1215816,0.029134797,0.033505145,0.026605645,1.0
42427821550808448,54.57683846239706,15.912744548632697,7.1032931644162005,-12.71294537268056,1.5967753842814023,15.620561,1.086728,0.04663715,0.04552986,0.034442585,1.0
42490940390149504,53.823479836263715,16.018849334945145,6.971303588766894,-8.999032634434897,-78.92356105931728,16.008186,0.9896676,0.04634373,0.06590402,0.04624543,1.0
42576083821809152,52.53488816440765,15.562077473893229,7.993617048129342,12.995015029761586,-17.401376645656654,10.871158,0.9013667,0.015971016,0.020361338,0.0151148075,1.0
42620064286935936,53.06555294093468,16.03154909760911,6.844079682940938,129.3428381889708,-16.721414162736743,15.415134,1.0525076,0.033839725,0.04083051,0.031116083,1.0
43120891833120000,55.837125671200766,15.681872915868311,7.709707289207398,-5.837156499108074,-31.10844770336515,17.552347,0.95021987,0.14114913,0.16514902,0.13889393,1.0
43356737078114816,57.90065682926787,15.953114987647291,6.629768514793693,-13.368336801945484,-20.463334479317883,16.505838,0.9408192,0.06699304,0.0764971,0.047768015,1.0
43367422956762368,57.555225455071515,16.000350527114012,9.574619930596453,33.64763506887174,-0.5136259729401491,8.437985,1.0350684,0.021713426,0.025744965,0.019320842,1.0
43542107866874368,58.46198410244694,16.8792143477475,6.14487434393343,5.648091665289854,-15.912707236055185,10.507725,0.90120447,0.018299807,0.020491323,0.01558927,1.0
43719713353343232,56.535731087297734,16.9622086825673,5.8729337130950325,79.3034623238275,-28.106166260290156,16.91343,1.0047612,0.0953531,0.10899256,0.07127866,1.0
43732529535735168,56.64343546158474,17.1657308867918,7.839007550469138,-6.451648710257341,1.1652290455640433,10.643664,1.1006908,0.017589558,0.020715253,0.01519323,1.0
43746170351903104,57.28045389772833,17.287628113478426,7.594962725743994,63.82076800262094,23.944999779869683,10.996187,1.3455974,0.019379504,0.023631386,0.016544983,1.0
43854059931723264,57.35929064291092,17.559741193237105,9.354228752405346,39.42601703863606,-17.157490515864318,15.648859,1.0995672,0.04441432,0.053842776,0.031725947,1.0
44031081302677120,55.03872247661953,16.667420403358648,6.764061668179901,32.54693425805033,-6.479995371323046,16.016903,0.94871014,0.04884723,0.052727014,0.041256797,1.0
44261291549779200,54.45079469631974,17.21277122469772,6.223795572742708,20.142964114542146,-10.722137762898065,14.1036825,1.0452199,0.02294939,0.024812248,0.01805495,1.0
44409072784486784,54.377138736221056,17.464015911438207,7.835097575023023,42.237090997054324,-2.5581594540485955,11.431918,0.9467919,0.018703487,0.018119637,0.014295415,1.0
44492463869467776,56.10985205302023,17.22591769950104,8.01931578038412,-13.08043127149627,-67.15169462200588,13.378531,1.0324755,0.02550989,0.025883026,0.020512013,1.0
44586192938810368,56.30233878675399,17.833963764407237,7.053239257876246,-6.074925975412052,-24.913720964754898,11.1696825,0.8626604,0.015811997,0.019048708,0.01436247,1.0
44603892500785920,56.02915141505021,17.95314316156003,7.146563531594924,28.45479296483562,2.6150995799248133,16.607899,1.0047591,0.061484814,0.0834718,0.062742926,1.0
44752086050666368,56.848521877303035,18.721859082985233,5.9039599261319,21.39151604257875,-24.538777358787687,17.894188,0.9369955,0.17912701,0.23886232,0.18584657,1.0
45401210230747648,60.93873474276173,15.673951286629887,6.836759211733673,6.069769346585764,2.9208349494606045,14.189564,1.0216784,0.022900816,0.027851053,0.015403767,1.0
45429007259055744,61.02696514522107,15.880954117126816,9.887914062679648,-11.866735341520792,-40.6524283986275,15.475954,1.0799166,0.034351405,0.044667188,0.026074747,1.0
45503499170457984,62.37380755557922,16.260011133469014,6.518986093803016,20.78998993777679,-30.399673176768385,16.513163,1.0894977,0.06282457,0.07131508,0.05495957,1.0
45569401148569984,61.77028186952181,16.480886822187493,7.307772223485762,28.83015140277473,-38.20715433348653,16.414158,0.95917916,0.057448503,0.070511766,0.051059566,1.0
45603004972492032,63.37015361355113,15.907764655841387,7.27795071234902,67.64371156056868,-15.608930276103735,15.838874,1.0508085,0.043878928,0.056779593,0.03838551,1.0
45633344621445504,63.22120484159773,16.25590025621487,9.75232559517475,57.73201512463574,-110.46341534443908,16.460587,1.0895653,0.07030184,0.09727131,0.066197164,1.0
45789887589641984,64.4601389917502,16.990760746805726,6.425848182422793,-49.54831967239128,-51.97359778342136,15.097145,1.0829711,0.03927414,0.048693486,0.03290447,1.0
45906504541587328,62.42284559734841,16.779172060054297,6.336562966611749,73.87134561228771,-60.86650018017515,13.490146,1.2127331,0.020701002,0.030587511,0.021498883,1.0
45953474303853568,62.29927661640801,16.77719762796324,6.3743091678884305,-29.979860666061665,-31.998921083441164,17.788017,1.0614517,0.15987068,0.19140622,0.12950672,1.0
46022365579432064,63.23588469348583,17.030516040299798,9.278064996240039,2.936274987523517,-16.00412857841493,17.665792,1.0043925,0.12474031,0.1526202,0.12041843,1.0
46083422834446592,63.69317656132888,17.655541815810793,6.3399413372382485,-8.920848554830132,7.785674576714513,15.208333,1.0171672,0.035327945,0.041263487,0.031740867,1.0
46230757393438080,60.87750021392877,16.55945562745435,6.382181969343727,-26.96195440100185,-97.42455904894527,12.857982,0.8917917,0.017280681,0.018748846,0.01089601,1.0
46355380164961920,61.70607981285853,17.10162672288215,6.402943850057121,0.046639147548500404,-15.210038053350731,14.803469,1.0255536,0.028895484,0.033893455,0.023968486,1.0
46613078202820480,60.52818785932522,17.394993052750305,9.941791684957286,-5.4852692131167515,-55.97793316545574,15.269141,0.9851462,0.03082249,0.03541324,0.021925725,1.0
46639500841597056,60.72843402223301,17.552912851959118,5.700668838194302,24.41130443476081,-40.802581273805245,16.746096,1.030027,0.06643533,0.078554526,0.048480608,1.0
46788037989349248,62.188788074914406,17.690607608217277,6.013134343657679,-15.336805789553814,-5.78566768285914,13.876844,1.020936,0.018828379,0.02051623,0.016962562,1.0
46811883647724032,61.6846485189734,17.66332100702148,9.670971876532615,37.08973056117365,-25.467017966806978,8.306717,0.9600219,0.024987597,0.028871913,0.021800624,1.0
46908292777155200,62.95499286484589,18.136561950964644,5.6816645145739155,-10.115888427200872,-18.629762096062983,17.87573,0.94958556,0.12608546,0.15192407,0.12083756,1.0
47108236392240128,60.78341683720157,18.363017528526896,6.361210231458421,-4.783313608851882,-15.973431053171696,17.464928,0.9666597,0.09680262,0.11948065,0.0684849,1.0
47158813926253824,62.195728185741,18.527459790565782,5.518584866781521,20.108962494021505,-23.567830310702313,15.997155,0.95587873,0.05631953,0.06632962,0.04250057,1.0
47577762216145920,64.00464452187754,17.87352439101884,7.412779188865403,39.177836339339365,-96.81623407315378,14.453668,0.9738569,0.023503166,0.028429031,0.021312986,1.0
47634902460955008,64.43210956441784,18.399607511664893,5.748103273053938,27.446203883019024,-106.79334922863681,17.148008,1.0052716,0.09823425,0.11065366,0.08161474,1.0
47679638840259712,63.89443173863811,18.330836885239947,6.046524783811429,17.558443657355635,-47.93804780007643,16.781494,1.044881,0.076365456,0.09168442,0.06782887,1.0
48420778396632192,63.26575359711097,18.427079395841307,5.890521364901747,-3.864217028419764,18.26278008553165,13.707095,1.1617217,0.020841677,0.025293324,0.017892031,1.0
48500389910391680,63.12790500279907,18.92513842191931,8.675557414699659,-24.64775137424259,-82.41648069584458,15.88271,1.0851128,0.04893253,0.06122081,0.047193397,1.0
48530111084037760,63.45738678407351,19.118766770541388,6.988021275090493,50.332424633759636,-29.817352641262005,17.867575,1.0533675,0.1575068,0.20576738,0.12929805,1.0
49116597458591232,64.63334853935831,20.66793481314133,9.8392395733647,17.745140406876725,-23.979040314442567,15.64512,1.043768,0.04410126,0.052997712,0.034649633,1.0
50248613400348672,61.10200592330244,19.00282453159001,6.490673052106456,2.202944037717873,-7.181449091728233,14.347033,1.3977257,0.028371103,0.036503118,0.019374136,1.0
50526755482495104,60.435209429950234,19.591506055394937,6.139995693932613,81.75662427617925,-41.95612803215989,17.658396,0.99597883,0.15181208,0.19861239,0.106329195,1.0
50817267069857664,58.63276915473592,19.09630857678685,5.851413752352023,54.49866128599747,-51.50972209429627,17.254887,1.0354085,0.09965437,0.11584706,0.07569234,1.0
51010570660629888,57.28313378740955,19.59757318858246,5.658650521071875,90.06557837403473,-59.108473242692504,17.827267,1.0383483,0.12420568,0.14416674,0.107641354,1.0
51174329173532544,57.516721288694235,20.190668165982636,9.06317033403186,2.7140734329553657,5.380550719886977,12.292067,1.0248437,0.014799803,0.019627988,0.0104478,1.0
51209895800103296,57.79989695651982,20.493293827716805,8.008968045294013,6.308130862172411,-57.47077018551462,15.595061,1.0041461,0.035904568,0.04580491,0.028952932,1.0
51212713298684928,57.483718044054854,20.381061770419556,8.56405281077587,22.22535709848987,-51.77948326485617,16.615393,1.0130632,0.068200566,0.08311867,0.054633643,1.0
51257621476724096,59.208211789793054,19.930267774172584,6.559134913210761,16.496204030964087,-40.28534463327467,15.78614,1.0247711,0.044613395,0.046025075,0.031404153,1.0
51356268285434240,58.78163790711656,20.36879236609392,6.578877168798605,-18.376783875649743,-17.916084982395024,12.5634,1.0326164,0.015834209,0.017473625,0.01164914,1.0
51381453974112640,60.021683034008625,20.421633682563208,9.191200785161106,9.573769220918505,-19.710423282439884,15.848581,1.0868592,0.04924628,0.052563976,0.03216833,1.0
51474328346661888,59.44223437143945,21.01354086988176,6.310651039402355,-3.7673655643250434,-12.920649474071395,17.35904,1.0269964,0.10122704,0.11576181,0.083080955,1.0
51479791545169408,59.71967812094349,20.89225510713631,6.891674333568988,-71.44831752431595,-77.29512633756559,13.21671,1.1451753,0.017233947,0.017783806,0.012145862,1.0
51819506277775616,61.86673128405318,19.887928409383527,6.3098710624689724,13.105889308192314,-10.675868129012803,16.835127,1.0722278,0.083914995,0.11545295,0.073116064,1.0
52092219522557312,60.996580418215466,20.364672831691855,7.3941673987498024,-22.98813278080735,-42.08808730836082,15.978162,1.128868,0.05293808,0.080007404,0.036136355,1.0
52267935223301504,62.01856512977976,21.31794358157628,6.63622501409387,-7.325275507184834,-69.43943392161437,15.457765,1.0179217,0.044708155,0.04779976,0.035073027,1.0
52439733914267136,63.048034476457076,21.41822673016697,7.4489309136979065,30.856669195406166,-36.634121689746344,17.847141,1.0892755,0.14061208,0.18865506,0.12431938,1.0
52445300190707840,62.915433618881224,21.393829245762984,6.53845723804365,48.63045207524307,-87.5565877293513,17.93619,1.0626987,0.15151702,0.18359056,0.13337357,1.0
52469317649044992,63.481098095216964,21.603916704569183,7.09778072852203,-39.32723132283416,41.837970196781306,15.975364,1.3190365,0.06126624,0.07226624,0.050777365,1.0
52573354640736896,63.60349071213082,21.942435455204077,6.660202915129773,37.46825817180698,-57.02414689843217,17.94125,0.9938094,0.1304784,0.15355848,0.115030326,1.0
52972481659660544,60.74379033859784,21.340230451799055,5.847922860843497,-12.904607321860954,-13.317698772044402,14.679543,1.0723871,0.029832434,0.03312005,0.020989984,1.0
53119025944191616,61.3045153097135,22.12873375168388,8.30130284983071,4.4293560164464765,-14.740276993400762,13.892044,1.2268196,0.022006044,0.024439009,0.01520699,1.0
53167335736332928,61.22199008055268,22.20024757687267,5.711408882857684,-23.34198228847068,-42.04167887094973,17.395056,0.95705307,0.09656132,0.1103498,0.06874475,1.0
53456129336585856,60.71498982766327,22.928496910904922,7.031971506248498,43.46046595868097,-27.15594633520345,16.541302,1.0397385,0.06326014,0.091556355,0.047516715,1.0
53569207234656256,61.40408527434662,22.611574190602443,5.783053082916005,-1.202927562600939,31.492942228039695,13.399574,1.0094603,0.015751733,0.020863635,0.010540247,1.0
53577384852365824,61.50032171601324,22.71863417430044,5.5942397279707885,-30.91860377155935,-56.933725065858496,11.648738,1.3533052,0.026667606,0.032476585,0.015246222,1.0
53584359879224448,61.579675895527984,22.913633875015194,5.811916700134797,-15.277834060203958,5.478021258499325,12.662256,1.0298984,0.018579487,0.021656321,0.010335892,1.0
53685995985388544,63.00396838319011,23.471493421141673,6.361431927322458,-21.476732624730914,1.354091594642828,13.112274,1.0649121,0.014385176,0.016114175,0.012453883,1.0
53954620418660224,62.34764245163507,24.07260750016215,5.964672968668777,90.55569320217806,-31.809494742799913,11.220902,1.1994005,0.024522362,0.029929271,0.021598443,1.0
53989736072994560,61.65676813941016,24.06816838015297,8.960458683083758,10.731472221784564,2.013307472400802,16.61958,0.96906936,0.066647395,0.07584568,0.048230454,1.0
54489498466013568,50.37176765497728,16.077104290690908,7.2554916154065285,28.240711285469956,-27.49968487912157,17.553059,0.9923239,0.13065995,0.13536215,0.10588397,1.0
54647793781212288,52.29642668530016,16.234096515071226,8.158922740351079,28.453940531957183,-2.66939316248319,16.859947,0.89851,0.076392815,0.082499854,0.07278572,1.0
54979773277351296,50.84826121283425,16.996160450252972,6.707426229176996,20.70654691122338,-37.06387505502123,17.907314,1.0448477,0.14723136,0.16041629,0.12898907,1.0
55788708893156096,50.897684646737204,17.60339077527991,6.036722081437954,46.62122959800014,-16.577130760840113,16.807714,0.97489077,0.06967562,0.0796303,0.06721254,1.0
55830486039880576,50.28291710908961,17.676849942605674,6.939528809643433,12.403912998445119,-51.67891790237448,10.323143,1.051304,0.017668886,0.020822605,0.017140545,1.0
56492293257316864,54.34908752441982,18.230833024241512,5.917636616031893,43.02634105182625,-17.688351183257975,13.252122,1.0345596,0.016609062,0.01981269,0.013381716,1.0
56631999953592704,53.0444061557447,18.185447415257446,7.402100537987278,77.10502947987928,-17.02075582044725,16.351395,1.3326141,0.08335116,0.090957224,0.06905707,1.0
56651993024095360,52.34743388317981,18.06002580539141,8.756054735173684,47.84704399024876,1.527305033844964,17.34721,1.0004213,0.10382156,0.1313735,0.09530798,1.0
